Source,Target,VID.i,VID.s,cri_comp,icl.i,ich.i,icm.i,scl.i,sch.i,scm.i,icl.s,ich.s,icm.s,scl.s,sch.s,scm.s,anb_name,anb_nuts,ca_bids,ca_cpv,ca_criteria_count,ca_eufund,ca_nuts,ca_scntr_sc,ca_title,cft_duration,cm_mod,w_consortium,w_name,w_nuts,country,ca_date,ca_year,ca_contract_value,nocft,ca_procedure,ca_criterion,anb_type,anb_sector,anb_empl_cat,cpv_div
HU18089996,HU15000355,50,700,0.5555555,0,6,0,0,2,2,0,12,0,0,1,0,Hungarofest Nemzeti Rendezvényszervez? Nonprofit Korl�,HU101,1,79416000-3,2,0,HU,1,Pécs2010 Európa Kulturális F?városa program PR kampányterv tervezése és lebonyolítása 2009-2010,NA,no contrac,1,Sensation Event Marketing Szolgáltató Kft. / Merlin Commu,HU101,hungary,26-Feb-10,2010,994.95,call for tender published,negotiation,price plus quality,established by public law,missing,missing,business services: law
HU18089996,HU15000356,50,701,0.5616155,0,6,0,0,2,2,0,3,0,0,0,0,Hungarofest Nemzeti Rendezvényszervez? Nonprofit Korl�,HU101,1,79416000-3,2,0,HU,1,Pécs2010 Európa Kulturális F?városa program PR kampányterv tervezése és lebonyolítása 2009-2010,NA,no contrac,1,Sensation Kommunikációs Ügynökség Kft. ( névváltozá,HU101,hungary,19-Apr-10,2010,9783.15,call for tender published,negotiation,price plus quality,established by public law,missing,missing,business services: law
HU735683,HU13247746,243,512,0.604754,0,0,0,0,0,0,0,0,0,0,0,0,Belváros -Lipótváros Budapest F?város V. Ker. Önko,HU101,1,79710000-4,3,0,HU101,0,Vonulószolgálat az V. kerületben 2009.,NA,no contrac,0,SAFETY SECTOR VAGYONVÉDELMI Korlátolt Felel?sség? Társa,HU101,hungary,30-Sep-09,2009,96710.4,no call for tenders published,negotiation,price plus quality,regional/local ,general public services,500<x,business services: law
HU18084922,HU15000080,49,650,0.5087176,0,36,9,0,0,7,0,8,1,0,0,0,VÁTI Magyar Regionális Fejlesztési és Urbanisztikai,HU101,1,79713000-5,2,0,HU101,1,?rzés-védelmi szolgáltatási tevékenységek végzése,NA,no contrac,1,CIVIL ZRt./ SCERIFFO SECURITY Kft. közös ajánlattev?k,,hungary,19-Aug-11,2011,9545.67,no call for tenders published,open,price plus quality,established by public law,other,missing,business services: law
HU724319,HU15000311,183,696,0.5181224,1,0,0,0,0,0,1,0,0,0,0,0,Baja Város Önkormányzat,HU331,1,79314000-8,1,1,HU331,0,„A bajai Sugovica magasparti szakaszának megtámasztása,,,,,,,,,,,,,,,,
HU490650,HU11796598,151,388,0.5007569,0,1,2,0,0,0,0,1,1,0,0,0,F?városi Állat- És Növénykert,HU101,1,79821000-5,1,1,HU101,0,Tájékoztató az eljárás eredményér?l - Nyomda 2012.,NA,no contrac,0,R-COPY PLUS Nyomdaipari és Kereskedelmi Korlátolt Felel?s,HU101,hungary,10-Feb-12,2012,9343.2,no call for tenders published,other/framework,lowest price,regional/local ,leisure,100<x<=500,business services: law
HU725361,HU11719939,188,383,0.1275543,28,0,0,2,0,1,7,0,0,0,0,0,Békéscsaba Megyei Jogú Város Önkormányzata,HU332,8,79342200-5,1,1,HU332,1,Vállalkozási szerz?dés Békéscsabán,,,,,,,,,,,,,,,,
HU490650,HU15000054,151,643,0.0910923,0,1,2,0,0,0,0,0,2,0,0,0,F?városi Állat- És Növénykert,HU101,3,79713000-5,1,0,HU101,0,?rzés-védelmi és portaszolgálati munkák végzése a 2011. évben a F?városi Állat- és Növénykert részére,NA,no contrac,1,Bank Biztonság Bizalom Zrt. ---- Bittó Kft. közös aján,,hungary,14-Feb-11,2011,92058.12,no call for tenders published,missing/error,lowest price,regional/local ,missing,100<x<=500,business services: law
HU329859,HU13900711,134,554,0.0799207,6,0,0,0,0,0,3,0,0,0,0,0,Nyíregyházi F?iskola,,3,79000000-4,2,1,HU323,0,tájékoztató az eljárás eredményér?l -„Spin-off cégek m?ködtetéséhez szükséges piackutatási,,,,,,,,,,,,,,,,
HU490638,HU12008005,150,412,0.5058963,0,0,1,5,0,1,0,0,1,0,0,0,Budapesti Történeti Múzeum (Budapest History Museum),HU101,1,79821000-5,2,0,HU101,1,BTM Állandó kiállítás - tájékoztató az eljárás eredményér?l,92,no contrac,0,BEIGE BAU Kereskedelmi és Szolgáltató Korlátolt Felel?s,HU101,hungary,8-Aug-11,2011,91364.65,no call for tenders published,open,price plus quality,regional/local ,leisure,100<x<=500,business services: law
