Source,Target,VID.i,VID.s,cri_comp,icl.i,ich.i,icm.i,scl.i,sch.i,scm.i,icl.s,ich.s,icm.s,scl.s,sch.s,scm.s,anb_name,anb_nuts,ca_bids,ca_cpv,ca_criteria_count,ca_eufund,ca_nuts,ca_scntr_sc,ca_title,cft_duration,cm_mod,w_consortium,w_name,w_nuts,country,ca_date,ca_year,ca_contract_value,nocft,ca_procedure,ca_criterion,anb_type,anb_sector,anb_empl_cat,cpv_div
HU752051,HU10238701,251,256,0.485,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,Budapesti Fegyház És Börtön,HU101,1,45421132-8,1,0,HU101,NA,"Tájékoztató BFB B"" objektum nyílászáró csere eljárás eredményér?l""",NA,no contrac,0,BAU-TRADE Épít?ipari Tervez? Kivitelez? és Kereskedelmi,HU102,hungary,9-Nov-12,2012,70806.05,no call for tenders published,negotiation,lowest price,national ,policing,500<x,construction work 
HU344739,HU10241837,70,257,0.5,0,0,0,0,13,3,NA,NA,NA,NA,NA,NA,Zsadány Községi Önkormányzat,HU332,3,45000000-7,1,1,HU332,0,Zsadány,,,,,,,,,,,,,,,,
HU730578,HU10253120,185,258,0.582,0,0,0,2,0,0,NA,NA,NA,NA,NA,NA,Veresegyház Város Önkormányzata,HU102,1,45000000-7,1,0,HU102,NA,Tájékoztató az eljárás eredményér?l a Veresegyházi Álomhegyi víztározó és rekreációs tó építése- Mederkotrási feladatok ellátása tárgyú közbeszerzési eljárásban,NA,no contrac,0,VERESTRANSZ SZÁLLITÁSI ÉS SZOLGÁLTATO KFT,HU102,hungary,25-Jun-12,2012,425020.4,no call for tenders published,negotiation,lowest price,regional/local ,general public services,50<x<=100,construction work 
HU312747,HU10317314,56,259,0.404,120,0,33,105,2,57,NA,NA,NA,NA,NA,NA,Igazságügyi Szakért?i És Kutató Intézetek,HU101,3,45453100-8,2,0,HU101,1,Az ISZKI Országos Toxikológiai Intézetében és Miskolci Intézetében építési beruházások kivitelezése,NA,no contrac,0,MAR-KONT Mérnöki Szolgáltató Korlátolt Felel?sség? T�,HU101,hungary,9-Mar-12,2012,136957.48,no call for tenders published,open,price plus quality,national ,other,100<x<=500,construction work 
HU598152,HU10334852,112,260,0.14,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,Nemzeti Sportközpontok,HU101,3,45000000-7,14,0,HU101,NA,Nemzeti Sportközpontok vagyonkezelésében álló ingatlanokhoz kapcsolódó építészeti,,,,,,,,,,,,,,,,
HU727002,HU10335712,156,261,0.399,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,Dunaújváros Megyei Jogú Város Önkormányzata,HU211,1,45243500-7,4,1,HU211,NA,DMJV - táborállás kivitelezés - táj. elj. eredm.,319,no contrac,0,SYCONS TANÁCSADO,,,,,,,,,,,,
HU726906,HU10338234,153,262,0.443,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,Hódmez?vásárhely Megyei Jogú Város Önkormányzat,HU333,1,45235200-5,1,0,HU333,NA,Tájékoztató az eljárás eredményér?l - Futópálya építése,NA,no contrac,0,GLOBÁL ÉPITÖ ÉS KERESKEDÖ KFT,HU321,hungary,9-Nov-12,2012,121726.7,no call for tenders published,negotiation,lowest price,regional/local ,general public services,500<x,construction work 
HU329761,HU10344349,65,263,0.084,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,Szent István Egyetem,HU102,6,45000000-7,1,1,HU1,,,,,,,,,,,,,,,,,,
HU329761,HU10344349,66,263,0.018,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,Szent István Egyetem,HU102,5,45000000-7,1,1,HU1,,,,,,,,,,,,,,,,,,
HU735814,HU10344349,243,263,0.14,28,0,8,1,3,5,NA,NA,NA,NA,NA,NA,Budapest XVIII. Kerület Pestszentl?rinc-Pestszentimre,HU101,8,45321000-3,1,1,HU101,0,TÁJÉKOZTATÓ AZ ELJÁRÁS EREDMÉNYÉR?L -  Kandó Téri Általános Iskola intézményépületének energetikai korszer?sítése,210,no contrac,0,ÉPVILLSZER ÉPITÖIPARI SZOLGÁLTATÓ KFT,HU322,hungary,1-Feb-12,2012,133660.66,call for tender published,open,lowest price,regional/local ,general public services,100<x<=500,construction work 
HU726874,HU10352281,152,264,0.437,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,Csanádpalota Városi Önkormányzat,HU333,3,45200000-9,2,1,HU333,1,Csanádpalota város Önkormányzata fenntartásában álló Polgármesteri Hivatal (Kelemen László tér 10.) energatikai korszer?sítése,NA,no contrac,0,TRIEX  KERESKEDELMI KFT,HU101,hungary,14-Sep-12,2012,167635.6,no call for tenders published,open,price plus quality,regional/local ,general public services,100<x<=500,construction work 
HU10856417,HU10354056,7,265,0.142,3,0,0,5,0,3,NA,NA,NA,NA,NA,NA,MÁV Magyar Államvasutak Zártkör?en M?köd? Részvé,HU101,9,45442100-8,2,0,HU1,,,,,,,,,,,,,,,,,,
HU12147715,HU10359264,19,266,0.128,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,Állami Autópálya Kezel? Zártkör?en m?köd? Részv�,HU101,3,45233140-2,1,0,HU1,,,,,,,,,,,,,,,,,,
HU732945,HU10362998,204,267,0.669,10,0,5,3,0,4,NA,NA,NA,NA,NA,NA,Kunszentmárton Városi Önkormányzat,HU322,1,45215100-8,1,1,HU322,NA,Kunszentmárton Város Önkormányzatának nyertes,,,,,,,,,,,,,,,,
HU545387,HU10367285,103,268,0.525,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,Füzér Község Önkormányzata,HU311,1,45000000-7,1,1,HU311,0,Integrált Közösségi Szolgáltató Tér épület kialakítása,NA,contract m,0,VIADUKT MÉRNÖKI ÉS KERESKEDELMI SZOLGÁLTATO KFT,HU101,hungary,23-Mar-12,2012,133514.38,no call for tenders published,open,lowest price,regional/local ,general public services,10<x<=25,construction work 
HU11226002,HU10381328,13,269,0.436,6,0,4,39,0,17,NA,NA,NA,NA,NA,NA,Dunántúli Regionális Vízm? Zártkör?en M?köd? Ré,HU232,1,45231100-6,3,0,HU232,NA,DRV Zrt. - NYBRV Zalai átadási pont és Balatonberény 3000 m3-es medence között 3550 fm vezeték NO DIG technológiával való kivitelezése,187,no contrac,0,BONEX ÉPITÖIPARI KFT,HU102,hungary,22-Jun-12,2012,1325285.4,call for tender published,open,price plus quality,established by public law,environment,missing,construction work 
HU321204,HU10387355,60,270,0.524,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,Szépm?vészeti Múzeum,HU101,1,45000000-7,1,0,HU101,NA,A Szépm?vészeti Múzeum vagyonkezelésében lév? ingatlanokon elvégzend? különböz? felújítási munkák elvégzése az ajánlattételi dokumentáció és a mellékelt kiviteli tervek szerint.,NA,no contrac,0,B CONSULTING SERVICE VAGYONVÉDELMI KFT,HU101,hungary,9-Jul-12,2012,43.358.177,no call for tenders published,negotiation,lowest price,national ,leisure,100<x<=500,construction work 
HU10898824,HU10397323,9,271,0.142,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,F?városi Vízm?vek Zártkör?en M?köd? Részvénytár,HU101,6,45232151-5,1,0,HU101,0,Cs?rekonstrukciós keretmegállapodás. Tájékoztató a keretmegállapodás második részét képez? hirdetményközzététele nélküli tárgyalásos eljárások eredményér?l 2012. 1. negyedév,1461,no contrac,0,KÖZVIZSZOLG KÖZMÜ ÉPITÖ ÉS SZOLGÁLTATO KFT,HU101,hungary,18-Jun-12,2012,41177.4,call for tender published,open,lowest price,established by public law,missing,missing,construction work 
HU10898824,HU10397323,9,271,0.143,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,F?városi Vízm?vek Zártkör?en M?köd? Részvénytár,HU101,6,45232151-5,1,0,HU101,0,Cs?rekonstrukciós keretmegállapodás. Tájékoztató a keretmegállapodás második részét képez? hirdetményközzététele nélküli tárgyalásos eljárások eredményér?l 2012. 1. negyedév,1461,no contrac,0,KÖZVIZSZOLG KÖZMÜ ÉPITÖ ÉS SZOLGÁLTATO KFT,HU101,hungary,18-Jun-12,2012,100966.74,call for tender published,open,lowest price,established by public law,missing,missing,construction work 
HU731784,HU10426285,197,272,0.39,0,0,3,0,1,0,NA,NA,NA,NA,NA,NA,Kisvárda Város Önkormányzata,HU323,2,45211360-0,1,1,HU323,NA,Tájékoztató az eljárás eredményér?l - Sétáló utca kialakítása,171,no contrac,0,NYIR-KOMPLETT ÉPITÖIPARI KERESKEDELMI ÉS SZOLGÁLTATO KF,HU323,hungary,6-Jul-12,2012,373957.41,call for tender published,negotiation,lowest price,regional/local ,general public services,100<x<=500,construction work 
HU731289,HU10429549,189,273,0.104,0,0,1,0,0,2,NA,NA,NA,NA,NA,NA,Százhalombatta Város Önkormányzata,HU102,2,45233140-2,1,0,HU102,1,Út-,,,,,,,,,,,,,,,,
HU735704,HU10429549,237,273,0.491,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,Budapest F?város VII. Ker. Erzsébetváros Önkormány,HU101,1,45233120-6,1,0,HU101,NA,Síp utca vízelvezet? rendszerének átalakítása és burkolatcseréje,NA,contract m,0,PUHI-TÁRNOK UT ÉS HIDÉPITÖ KFT,HU102,hungary,4-Jul-12,2012,279213.46,no call for tenders published,negotiation,lowest price,regional/local ,general public services,100<x<=500,construction work 
HU10856417,HU10430130,7,274,0.14,3,0,0,5,0,3,NA,NA,NA,NA,NA,NA,MÁV Magyar Államvasutak Zártkör?en M?köd? Részvé,HU101,3,45261410-1,2,0,HU1,,,,,,,,,,,,,,,,,,
HU10856417,HU10430130,7,274,0.141,3,0,0,5,0,3,NA,NA,NA,NA,NA,NA,MÁV Magyar Államvasutak Zártkör?en M?köd? Részvé,HU101,5,45261410-1,2,0,HU1,,,,,,,,,,,,,,,,,,
HU10856417,HU10430130,7,274,0.14,3,0,0,5,0,3,NA,NA,NA,NA,NA,NA,MÁV Magyar Államvasutak Zártkör?en M?köd? Részvé,HU101,4,45261410-1,2,0,HU1,,,,,,,,,,,,,,,,,,
HU10856417,HU10430130,7,274,0.14,3,0,0,5,0,3,NA,NA,NA,NA,NA,NA,MÁV Magyar Államvasutak Zártkör?en M?köd? Részvé,HU101,4,45261410-1,2,0,HU1,,,,,,,,,,,,,,,,,,
HU10856417,HU10430130,7,274,0.14,3,0,0,5,0,3,NA,NA,NA,NA,NA,NA,MÁV Magyar Államvasutak Zártkör?en M?köd? Részvé,HU101,2,45261410-1,2,0,HU1,,,,,,,,,,,,,,,,,,
