id,Contracts,Bridging Capacity,Influence
HU726478,7,0,0.015
HU15000074,1,0,0.002
HU327888,1,0,0.002
HU10259470,5,0,0.007
HU20773935,1,0,0.002
HU729622,8,0,0.008
HU12093252,6,0,0.006
HU734181,2,0,0.006
HU54314836,1,0,0.003
HU20366560,1,0,0.002
HU12573974,1,0,0.002
HU724429,5,0,0.008
HU13940511,1,0,0.002
HU733557,2,0,0.004
HU11364278,2,0,0.004
HU13972709,1,0,0.002
HU726391,3,0,0.006
HU10398506,1,0,0.002
HU735748,2,0,0.004
HU12257728,3,0,0.005
HU399520,2,0,0.004
HU10336476,4,0,0.008
HU327877,1,0,0.004
HU10853892,1,0,0.004
HU733591,1,0,0.004
HU10921144,1,0,0.004
HU724045,3,0,0.008
HU11016982,1,0,0.003
HU726906,3,0,0.008
HU11596367,1,0,0.003
HU727002,2,0,0.006
HU10974702,1,0,0.003
HU372383,1,0,0.004
HU10603611,1,0,0.004
HU13851325,1,0,0.004
HU12739208,1,0,0.004
HU329750,4,0,0.008
HU10981739,2,0,0.004
HU733283,3,0,0.006
HU26439080,2,0,0.004
HU730161,1,0,0.004
HU10398513,1,0,0.004
HU730864,1,0,0.004
HU14153503,1,0,0.004
HU10222115,1,0,0.002
HU12023682,1,0,0.001
HU22825351,1,0,0.002
HU735793,1,0,0.004
HU12938263,1,0,0.004
HU11889094,1,0,0.003
HU735825,1,0,0.004
HU10905896,1,0,0.004
HU731267,1,0,0.004
HU10711402,1,0,0.004
HU726599,1,0,0.004
HU12762631,1,0,0.004
HU727529,3,0,0.005
HU15000236,2,0,0.003
HU11906522,2,0,0.006
HU10790575,1,0,0.003
HU10569731,7,0,0.011
HU12068528,1,0,0.003
HU727705,1,0,0.004
HU10956469,1,0,0.004
HU408055,1,0,0.002
HU28562832,1,0,0.003
HU725053,1,0,0.004
HU13224082,1,0,0.004
HU14857496,1,0,0.004
HU11240482,1,0,0.004
HU764058,1,0,0.004
HU10618615,1,0,0.004
HU726511,1,0,0.002
HU731092,1,0,0.004
HU10952939,1,0,0.004
HU734444,1,0,0.003
HU10499700,2,0,0.006
HU735627,2,0,0.005
HU76524789,1,0,0.003
HU729325,1,0,0.004
HU13343385,1,0,0.004
HU731256,1,0,0.004
HU13960894,1,0,0.004
HU728021,1,0,0.002
HU14460706,1,0,0.002
HU11582395,3,0,0.006
HU731311,1,0,0.003
HU10236486,2,0,0.005
HU727882,1,0,0.004
HU11971829,1,0,0.004
HU735638,10,0,0.014
HU20189213,1,0,0.002
HU402536,1,0,0.004
HU11244905,1,0,0.004
HU731300,1,0,0.004
HU10820847,1,0,0.004
HU300014,1,0,0.004
HU13709307,1,0,0.004
HU733436,2,0,0.005
HU13952392,1,0,0.003
HU18680188,2,0,0.006
HU12206894,1,0,0.003
HU728944,1,0,0.004
HU10464784,1,0,0.004
HU329815,5,0,0.008
HU13506726,2,0,0.004
HU725503,1,0,0.003
HU18677375,2,0,0.006
HU12826708,2,0,0.003
HU726973,1,0,0.004
HU11001036,1,0,0.004
HU22197326,1,0,0.004
HU15000147,1,0,0.004
HU735595,1,0,0.004
HU10522532,1,0,0.004
HU12753781,3,0,0.007
HU10417050,2,0,0.004
HU549989,1,0,0.004
HU11497495,1,0,0.004
HU733656,2,0,0.005
HU10762666,1,0,0.003
HU729600,2,0,0.006
HU12593398,1,0,0.003
HU12495630,1,0,0.004
HU12579509,1,0,0.004
HU21931941,1,0,0.003
HU726445,2,0,0.004
HU308823,1,0,0.004
HU11956266,1,0,0.004
HU13960571,1,0,0.002
HU10941568,1,0,0.002
HU10751257,4,0,0.005
HU366003,1,0,0.002
HU13935809,1,0,0.002
HU724308,1,0,0.002
HU10504770,2,0,0.003
HU329794,2,0,0.005
HU308438,1,0,0.004
HU15000062,1,0,0.004
HU323868,2,0,0.006
HU23246052,1,0,0.003
HU13169165,1,0,0.002
HU10416547,1,0,0.001
HU15327868,1,0,0.003
HU725349,1,0,0.003
HU10457726,2,0,0.005
HU21096538,1,0,0.002
HU360023,1,0,0.003
HU308450,1,0,0.004
HU14580646,1,0,0.004
HU396552,1,0,0.004
HU14452321,1,0,0.004
HU15000087,1,0,0.003
HU14816523,1,0,0.004
HU10213007,1,0,0.004
HU15329750,1,0,0.004
HU10442344,1,0,0.004
HU14223383,1,0,0.003
HU731773,1,0,0.004
HU12263974,1,0,0.004
HU10000017,1,0,0.003
HU10832972,2,0,0.005
HU14511022,1,0,0.003
HU14465299,1,0,0.003
HU731290,1,0,0.004
HU10725591,1,0,0.004
HU20638119,1,0,0.004
HU10303744,1,0,0.004
HU729590,1,0,0.004
HU11472454,1,0,0.004
HU76022,1,0,0.004
HU11863973,1,0,0.004
HU24513001,1,0,0.002
HU10496374,2,0,0.004
HU20783185,1,0,0.003
HU725514,2,0,0.005
HU12154481,2,0,0.006
HU13842217,1,0,0.003
HU14661048,1,0,0.003
HU10244438,1,0,0.003
HU733371,2,0,0.006
HU11290315,1,0,0.003
HU391502,1,0,0.004
HU12490934,1,0,0.004
HU11287052,1,0,0.003
HU726490,1,0,0.004
HU12468320,1,0,0.004
HU729611,1,0,0.003
HU725361,6,0,0.006
HU13623168,3,0,0.003
HU734301,1,0,0.004
HU27666469,1,0,0.004
HU355937,1,0,0.004
HU14007440,1,0,0.004
HU14605749,2,0,0.004
HU15000412,2,0,0.004
HU735847,2,0,0.004
HU732693,2,0,0.005
HU12614277,1,0,0.003
HU732495,1,0,0.004
HU12462221,1,0,0.004
HU12311747,1,0,0.003
HU21599770,1,0,0.003
HU11474762,3,0,0.003
HU730105,25,0,0.019
HU12299197,1,0,0.001
HU12132704,1,0,0.001
HU308384,1,0,0.004
HU10637784,1,0,0.004
HU726159,1,0,0.004
HU12736384,1,0,0.004
HU727761,1,0,0.004
HU11122582,1,0,0.004
HU724902,1,0,0.004
