id,Contracts,Bridging Capacity,Influence
HU735683,1,0,0.007
HU13247746,1,0,0.007
HU10856417,2,0,0.006
HU12514263,3,0,0.009
HU18479115,5,0,0.010
HU14174069,1,0,0.003
HU592479,1,0,0.007
HU22418876,1,0,0.007
HU11811732,4,0,0.008
HU725361,4,0,0.007
HU11583592,4,0,0.007
HU324766,5,0,0.020
HU12145490,1,0,0.004
HU12519718,1,0,0.007
HU12109450,1,0,0.007
HU733634,1,0,0.007
HU13253679,1,0,0.007
HU731805,1,0,0.007
HU13579124,1,0,0.007
HU18680188,1,0,0.007
HU11806264,1,0,0.007
HU10901232,159,0,0.170
HU42332299,1,0,0.002
HU597078,6,0,0.018
HU14065277,2,0,0.006
HU14230853,1,0,0.004
HU300146,1,0,0.007
HU10964789,1,0,0.007
HU764421,2,0,0.007
HU10368145,3,0,0.009
HU14072424,54,0,0.050
HU15000247,1,0,0.002
HU60039459,1,0,0.002
HU721473,2,0,0.010
HU10793509,1,0,0.005
HU23615241,1,0,0.002
HU10356113,5,0,0.013
HU14300987,11,0,0.011
HU300630,1,0,0.007
HU13952141,1,0,0.007
HU598327,1,0,0.004
HU12644432,3,0,0.011
HU15000061,1,0,0.002
HU10722299,1,0,0.004
HU12657331,1,0,0.007
HU12561234,1,0,0.007
HU14259386,15,0,0.015
HU325774,1,0,0.007
HU13434717,1,0,0.007
HU721538,1,0,0.007
HU12463129,1,0,0.007
HU18079519,1,0,0.007
HU10325586,1,0,0.007
HU325235,4,0,0.015
HU10728350,1,0,0.004
HU10266775,1,0,0.002
HU14967605,3,0,0.004
HU10798102,1,0,0.004
HU54825972,1,0,0.002
HU15000307,1,0,0.002
HU60047559,1,0,0.002
HU49124196,2,0,0.003
HU62148319,3,0,0.004
HU49281510,1,0,0.002
HU54821538,1,0,0.002
HU18089996,1,0,0.007
HU13283896,1,0,0.007
HU13406183,3,0,0.004
HU730864,1,0,0.007
HU13127136,1,0,0.007
HU13660532,1,0,0.004
HU13736686,1,0,0.007
HU13790921,1,0,0.007
HU56463817,1,0,0.002
HU10852303,1,0,0.004
HU28209047,1,0,0.003
HU49288816,4,0,0.005
HU22941156,8,0,0.008
HU64646026,3,0,0.004
HU60039686,1,0,0.002
HU62444323,3,0,0.004
HU15560256,1,0,0.002
HU12311228,1,0,0.002
HU60035170,2,0,0.003
HU65100225,2,0,0.003
HU60057084,2,0,0.003
HU22576545,1,0,0.002
HU15000388,1,0,0.002
HU14275263,1,0,0.002
HU20080224,1,0,0.002
HU60044903,1,0,0.002
HU10829767,1,0,0.005
HU65437979,5,0,0.006
HU15000264,1,0,0.002
HU65318281,1,0,0.002
HU15000417,1,0,0.002
HU10382594,1,0,0.002
HU15000077,1,0,0.002
HU63420867,1,0,0.002
HU10682894,1,0,0.002
HU15000175,1,0,0.002
HU22460316,2,0,0.003
HU21949357,1,0,0.002
HU15000263,1,0,0.002
HU11344579,1,0,0.002
HU14696961,2,0,0.003
HU13019510,1,0,0.002
HU15000350,1,0,0.002
HU61042557,1,0,0.002
HU15000141,1,0,0.002
HU15000072,1,0,0.004
HU10644371,1,0,0.007
HU12644449,1,0,0.007
HU20644633,2,0,0.008
HU21814097,1,0,0.007
HU10377064,1,0,0.007
HU20933713,1,0,0.007
HU10908679,1,0,0.007
HU12166602,1,0,0.007
HU13337926,1,0,0.007
HU597308,1,0,0.007
HU15000427,1,0,0.007
HU10250976,1,0,0.004
HU15592145,1,0,0.007
HU15000393,1,0,0.007
HU329969,1,0,0.007
HU13954332,1,0,0.007
HU485168,1,0,0.007
HU13628084,1,0,0.007
HU13992855,1,0,0.004
HU583385,1,0,0.007
HU13862387,1,0,0.007
HU311607,2,0,0.007
HU12500899,2,0,0.007
HU11097844,1,0,0.004
HU735694,1,0,0.007
HU12268113,1,0,0.007
HU731904,1,0,0.007
HU10752258,1,0,0.007
HU15000149,1,0,0.004
HU15000286,1,0,0.004
HU308450,1,0,0.007
HU13596583,1,0,0.007
HU10935013,2,0,0.006
