id,Contracts,Bridging Capacity,Influence
HU728757,2,0,0.000
HU12752065,2,0,0.000
HU731070,4,0,0.000
HU12453948,4,0,0.000
HU423649,1,0,0.000
HU12661499,1,0,0.000
HU19858083,1,0,0.000
HU14805918,3,0,0.001
HU337474,1,0,0.000
HU13312325,1,0,0.000
HU427021,3,0,0.000
HU11325486,3,0,0.000
HU14005534,1,0,0.000
HU11522542,1,0,0.000
HU473040,1,0,0.000
HU14975176,11,0,0.001
HU491613,1,0,0.000
HU12614277,2,0,0.000
HU598152,3,0,0.000
HU11374150,5,0,0.001
HU726258,1,0,0.000
HU13567707,1,0,0.000
HU728373,2,0,0.001
HU12903436,1,0,0.000
HU727794,2,0,0.000
HU13941770,4,0,0.001
HU428798,1,0,0.000
HU22941888,1,0,0.000
HU732945,1,0,0.000
HU10362998,9,0,0.001
HU19863908,3,0,0.000
HU14499025,3,0,0.000
HU725394,1,0,0.000
HU14385104,1,0,0.000
HU729798,15,0,0.002
HU14345191,2,0,0.000
HU727749,2,0,0.000
HU592150,1,0,0.000
HU14160592,1,0,0.000
HU11715492,1,0,0.000
HU12581799,9,0,0.001
HU11553849,3,0,0.000
HU10813267,2,0,0.000
HU381707,1,0,0.000
HU10544020,1,0,0.000
HU726401,1,0,0.000
HU10497746,1,0,0.000
HU421041,1,0,0.000
HU11304047,1,0,0.000
HU726500,3,0,0.000
HU10711543,1,0,0.000
HU730721,3,0,0.000
HU10953538,5,0,0.001
HU348265,1,0,0.000
HU11887827,6,0,0.001
HU14820856,1,0,0.000
HU11253525,1,0,0.000
HU726490,12,0,0.001
HU732538,8,0,0.001
HU12730405,4,0,0.000
HU725338,2,0,0.000
HU10776456,3,0,0.000
HU732769,14,0,0.002
HU728548,1,0,0.000
HU11705053,72,0,0.007
HU11152668,1,0,0.000
HU11986270,8,0,0.001
HU733007,5,0,0.001
HU11269001,3,0,0.000
HU731883,3,0,0.001
HU12427615,1,0,0.000
HU732693,5,0,0.001
HU12354526,6,0,0.001
HU11611226,5,0,0.001
HU10263806,3,0,0.000
HU729974,1,0,0.000
HU10636398,1,0,0.000
HU725118,3,0,0.000
HU14300327,24,0,0.002
HU450054,2,0,0.000
HU14008915,18,0,0.002
HU732132,2,0,0.000
HU12656770,6,0,0.001
HU724803,3,0,0.001
HU14446931,1,0,0.000
HU396552,2,0,0.000
HU11485920,3,0,0.001
HU367088,1,0,0.000
HU29500918,1,0,0.000
HU730611,5,0,0.001
HU24488208,2,0,0.000
HU724517,2,0,0.000
HU11028471,1,0,0.000
HU445715,1,0,0.000
HU14852020,5,0,0.001
HU732682,1,0,0.000
HU12593783,9,0,0.001
HU336477,2,0,0.001
HU10381603,3,0,0.001
HU730897,8,0,0.001
HU13305329,4,0,0.001
HU731850,4,0,0.001
HU14299526,2,0,0.000
HU583088,5,0,0.001
HU10706484,3,0,0.000
HU403335,1,0,0.000
HU11551050,1,0,0.000
HU14863477,11,0,0.001
HU14759996,12,0,0.001
HU726731,12,0,0.001
HU10557606,7,0,0.001
HU730095,5,0,0.001
HU13523398,6,0,0.001
HU12523326,5,0,0.001
HU331779,1,0,0.000
HU11097875,22,0,0.002
HU14249882,2,0,0.000
HU734345,1,0,0.000
HU11358857,1,0,0.000
HU732022,4,0,0.001
HU10591998,3,0,0.001
HU450890,1,0,0.000
HU13019204,1,0,0.000
HU10714254,1,0,0.000
HU11486471,1,0,0.000
HU730127,2,0,0.000
HU11906508,5,0,0.001
HU385727,7,0,0.001
HU12537178,3,0,0.000
HU372383,5,0,0.001
HU11142463,3,0,0.000
HU18533835,2,0,0.000
HU12764073,9,0,0.001
HU728571,3,0,0.001
HU12110508,2,0,0.000
HU730435,5,0,0.001
HU12000980,10,0,0.001
HU14794636,1,0,0.000
HU549989,1,0,0.000
HU11580317,1,0,0.000
HU732231,1,0,0.000
HU14555699,1,0,0.000
HU735991,2,0,0.000
HU11585271,5,0,0.000
HU734224,4,0,0.001
HU10741911,7,0,0.001
HU300553,6,0,0.001
HU10490086,6,0,0.001
HU731290,4,0,0.001
HU10250385,15,0,0.002
HU727398,7,0,0.001
HU10429549,12,0,0.001
HU355256,1,0,0.000
