id,Contracts,Bridging Capacity,Influence
CZ00282286,1,0,0.000
CZ25535307,1,0,0.000
CZ00556378,1,0,0.000
CZ10442481,9,0,0.001
CZ00368598,1,0,0.000
CZ47239328,13,0,0.001
CZ61389005,2,0,0.001
CZ72674334,1,0,0.000
CZ75123924,3,0,0.000
CZ45274517,3,0,0.000
CZ00284840,2,0,0.000
CZ48035599,66,0,0.005
CZ00237612,2,0,0.001
CZ25159224,1,0,0.000
CZ70890749,63,0,0.004
CZ46962875,1,0,0.000
CZ00231312,3,0,0.000
CZ49359720,1,0,0.000
CZ60162694,44,0,0.004
CZ44797320,2,0,0.000
CZ00075370,22,0,0.002
CZ26402238,2,0,0.000
CZ00020478,85,0,0.006
CZ46342796,52,0,0.004
CZ00237442,4,0,0.000
CZ26746573,15,0,0.002
CZ00283347,3,0,0.000
CZ47911182,5,0,0.000
CZ00237434,1,0,0.000
CZ25018094,17,0,0.001
CZ25121936,2,0,0.000
CZ49975358,8,7,0.001
CZ00272728,5,0,0.001
CZ25253361,28,0,0.002
CZ70951993,1,0,0.000
CZ45274924,100,0,0.006
CZ00235881,2,0,0.000
CZ12076538,2,0,0.000
CZ62348043,2,0,0.000
CZ15504158,2,0,0.000
CZ00277100,2,0,0.000
CZ15035808,4,0,0.001
CZ00277720,1,0,0.000
CZ60838744,114,0,0.008
CZ00231321,3,0,0.001
CZ25749153,2,0,0.000
CZ00277380,3,0,0.000
CZ48154067,4,0,0.000
CZ61387142,1,0,0.000
CZ63998611,1,0,0.000
CZ00275395,1,0,0.000
CZ25253697,4,0,0.000
CZ00275336,1,0,0.000
CZ00064203,8,0,0.001
CZ00014915,36,0,0.003
CZ70890692,12,0,0.001
CZ25828258,4,0,0.000
CZ00291471,9,0,0.001
CZ45273910,34,0,0.002
CZ00240915,4,0,0.000
CZ61501441,2,0,0.000
CZ00297488,15,0,0.001
CZ47675853,9,0,0.001
CZ26863154,1,0,0.000
CZ46578021,1,0,0.000
CZ00531766,16,0,0.001
CZ00231126,18,0,0.002
CZ40765903,2,0,0.000
CZ00006963,10,0,0.001
CZ00063584,16,0,0.001
CZ25607618,10,0,0.001
CZ26230992,9,0,0.001
CZ26830248,1,0,0.000
CZ45195706,11,0,0.001
CZ00304387,13,0,0.001
CZ14612224,6,0,0.001
CZ00177016,1,0,0.000
CZ28315669,19,0,0.002
CZ25702556,5,0,0.001
CZ62161172,2,0,0.000
CZ00277967,1,0,0.000
CZ00528862,1,0,0.000
CZ00231151,4,0,0.000
CZ26212005,13,0,0.001
CZ26177005,41,0,0.003
