id,Contracts,Bridging Capacity,Influence
HU345451,1,0,0.018
HU10734441,2,0,0.035
HU733469,2,0,0.018
HU12898019,13,0,0.108
HU10863877,5,0,0.024
HU10625790,5,0,0.024
HU372383,1,0,0.018
HU11147073,2,0,0.035
HU732813,1,0,0.024
HU12614356,1,0,0.024
HU731432,2,0,0.018
HU729611,1,0,0.017
HU13799047,3,0,0.046
HU384005,1,0,0.017
HU726467,1,0,0.011
HU729622,2,0,0.021
HU13958147,3,0,0.036
HU724089,1,0,0.014
HU725514,1,0,0.018
HU729392,1,0,0.024
HU10737743,1,0,0.024
HU504003,2,0,0.019
HU10897830,4,0,0.037
HU429739,1,0,0.024
HU12461062,1,0,0.024
HU728526,2,0,0.018
HU732693,1,0,0.011
HU725228,1,0,0.011
HU492511,1,0,0.011
HU731289,1,0,0.024
HU12936773,1,0,0.024
HU11085441,1,0,0.017
HU308900,1,0,0.024
HU10542925,1,0,0.024
HU12519718,1,0,0.024
HU10768033,1,0,0.024
HU728746,3,0,0.026
HU324766,1,0,0.011
HU13980335,1,0,0.018
HU338019,1,0,0.024
HU13391814,1,0,0.024
HU728340,1,0,0.014
