id,Contracts,Bridging Capacity,Influence
SK30230365,1,0,0.003
SK36743402,1,0,0.003
SK30416094,1,0,0.003
SK45262985,1,0,0.003
SK00309974,3,0,0.005
SK36239542,1,0,0.002
SK36603350,3,0,0.005
SK31103049,1,0,0.002
SK37957937,1,0,0.003
SK36034002,1,0,0.003
SK00397865,3,0,0.005
SK36284289,1,0,0.002
SK31654878,2,0,0.003
SK00698393,4,0,0.004
SK17320429,1,0,0.001
SK00326470,6,0,0.005
SK31651518,24,0,0.019
SK00306525,2,0,0.002
SK35683066,18,0,0.018
SK00323021,2,0,0.002
SK36473332,2,0,0.002
SK00151491,2,0,0.003
SK31356648,6,0,0.009
SK00318094,2,0,0.003
SK36328375,3,0,0.004
SK17335825,1,0,0.002
SK00308536,1,0,0.001
SK36526185,3,0,0.004
SK35910739,21,0,0.027
SK34118152,1,0,0.002
SK36036889,4,0,0.005
SK36137952,1,0,0.003
SK36435694,1,0,0.003
SK31579582,1,0,0.002
SK36218740,2,0,0.003
SK14098318,1,0,0.002
SK35761024,1,0,0.002
SK36334324,2,0,0.003
SK17556741,1,0,0.002
SK31566537,1,0,0.002
SK00397687,6,0,0.008
SK31321861,1,0,0.002
SK37915568,1,0,0.003
SK36414263,1,0,0.003
SK30845572,2,0,0.005
SK31617913,1,0,0.003
SK00306185,4,0,0.004
SK44695683,3,0,0.003
SK00329321,1,0,0.003
SK31755194,1,0,0.003
SK00399957,2,0,0.002
SK36191892,6,0,0.006
SK35829052,6,0,0.008
SK17055164,1,0,0.002
SK37870475,22,0,0.016
SK31690360,9,0,0.008
SK00326585,2,0,0.002
SK36168335,5,0,0.006
SK00325490,5,0,0.005
SK31355161,5,0,0.005
SK00305383,1,0,0.002
SK35721278,4,0,0.005
SK00003328,15,0,0.012
SK36168572,1,0,0.001
SK00323560,6,0,0.007
SK31722849,2,0,0.002
SK43900950,2,0,0.002
SK00309672,1,0,0.003
SK43900542,1,0,0.003
SK36425851,1,0,0.002
SK00313424,1,0,0.002
SK00310964,1,0,0.003
SK36530328,1,0,0.003
SK00326283,1,0,0.002
SK31715290,2,0,0.003
SK00327379,2,0,0.002
SK31657095,1,0,0.002
SK31628541,1,0,0.001
SK31721079,6,0,0.005
SK36297445,1,0,0.002
SK31936415,1,0,0.003
SK36014354,1,0,0.003
SK00310182,3,0,0.004
SK36302031,4,0,0.004
SK00313271,1,0,0.001
SK00327646,3,0,0.003
SK36461733,3,0,0.003
SK00309311,1,0,0.003
SK36555801,1,0,0.003
SK00691135,5,0,0.004
SK00329061,2,0,0.005
SK36582387,1,0,0.003
SK00313181,3,0,0.005
SK14410923,1,0,0.002
SK00320501,2,0,0.003
SK31631134,3,0,0.004
SK00315737,2,0,0.002
SK36390151,5,0,0.007
SK18046428,1,0,0.001
SK00315524,3,0,0.004
SK43941664,9,0,0.010
SK00312614,1,0,0.002
SK00324451,4,0,0.004
SK37861298,7,0,0.007
SK17558905,1,0,0.001
SK35829141,2,0,0.005
SK31450474,1,0,0.003
SK31665926,1,0,0.001
