Source;Target;cri_comp;anb_name;ca_cpv;ca_criteria_count;ca_eufund;ca_nuts;ca_scntr_sc;ca_title;w_name;country;ca_date;ca_year;ca_contract_value;nocft;ca_procedure;ca_criterion
SK30230365;SK36743402;0,8198237;Obec Krahule;45211100-0;6;0;SK032;0;Rekonštrukcia podkrovia Obecného úradu Krahule;Schenk Slovakia spol s.r.o;slovakia;11-Jul-09;2009;264021,03;0;other/framework;price plus quality
SK00305103;SK35738511;0,8180656;Obec Šenkvice;45232400-6;4;0;SK01;0;Kanalizácia v Šenkviciach;RAPID - IS s.r.o;slovakia;15-Jul-09;2009;1435516,1;0;open;price plus quality
SK30230365;SK36743402;0,8114944;Obec Krahule;45211100-0;6;0;SK032;0;Rekonštrukcia podkrovia Obecného úradu, Krahule;Schenk Slovakia, spol. s r. o;slovakia;7-Mar-09;2009;512553,28;0;open;price plus quality
SK00307785;SK14410923;0,680086;Obec Cabaj - Čápor;45231300-8;4;1;SK023;1;Obecná kanalizácia - ČOV, Cabaj - Čápor;Ing. Marian Sahul STAVEKO;slovakia;1-Dec-09;2009;6306863,3;0;invitation;price plus quality
SK00309974;SK36239542;0,6766391;Mesto Senica;45000000-7;4;0;SK021;0;Nájomné bytové domy, Senica;Hílek a spol., a. s;slovakia;14-Feb-09;2009;3683664,7;0;invitation;price plus quality
SK00327794;SK37885430;0,6313564;Obec Šarišské Dravce;45211000-9;4;0;SK041;1;Bytový dom - 11 BJ (nájomné byty bežného štandardu), 2. etapa, Šarišské Dravce;EURO - STAV združenie;slovakia;20-Jan-09;2009;460831,31;0;open;price plus quality
SK00311162;SK35683066;0,597428;Mesto Topoľčany;45222100-0;2;1;SK023;1;Dotrieďovací dvor odpadového hospodárstva Topoľčany;EURO-BUILDING,s.s;slovakia;18-Sep-09;2009;1024722,2;1;invitation;lowest price
SK37957937;SK36034002;0,5960169;Detská fakultná nemocnica s poliklinikou Banská Bys;45215100-8;10;1;SK032;1;Nadstavba a rekonštrukcia budovy DFNsP v Banskej Bystrici;OKB Plus, a.s;slovakia;20-Nov-09;2009;5483898,6;0;invitation;price plus quality
SK00309974;SK36239542;0,5896541;Mesto Senica;45214230-1;2;1;SK021;0;Rekonštrukcia a modernizácia Základnej umeleckej školy, Senica;HÍLEK a spol., a.s;slovakia;4-Nov-09;2009;977786,9;1;invitation;lowest price
SK35919001;SK31333320;0,588545;Národná diaľničná spoločnosť, a.s;45220000-5;2;1;SK041;1;Diaľnica D1 Jablonov - Studenec;Združenie Jablonov - Studenec, vedúci člen združenia -;slovakia;12-May-09;2009;48866417;0;open;lowest price
