Source;Target;cri_comp;anb_name;anb_nuts;ca_bids;ca_cpv;ca_criteria_count;ca_eufund;ca_nuts;ca_scntr_sc;ca_title;cft_duration;w_name;w_nuts;country;ca_date;ca_year;ca_contract_value;nocft;ca_procedure;ca_criterion;anb_type;anb_empl_cat
CZ49451871;CZ49973215;0,9165;Vodovody a kanalizace Kroměříž, a.s.;CZ0721;1;45000000-7;0;1;CZ072;0;„Vícepráce při realizaci stavby Rekonstrukce a intenzifikace ČOV Chropyně“;;CGM Czech a.s.;CZ0209;czechr;9-Jan-12;2012;56534,457;0;negotiation;missing;supported body/soe ;100<x<=500
CZ00269719;CZ42228468;0,9165;Město Třebechovice pod Orebem;CZ0521;1;45000000-7;0;1;CZ052;0;"Třebechovické muzeum betlémů"" - vícepráce""""";;S T A K O  společnost s ručením omezeným;CZ0521;czechr;2-Oct-12;2012;1179,0419;0;negotiation;missing;regional/local ;10<x<=25
CZ00489174;CZ49436589;0,9165;Benediktinské opatství Rajhrad;CZ0643;1;45000000-7;2;1;CZ064;0;Benediktinské opatství Rajhrad, Muzeum Brněnska - výstavní prostory, jižní křídlo prelatury;;KALÁB-stavební firma, spol. s r.o.;CZ0642;czechr;8-Jul-12;2012;55203,995;0;negotiation;price plus quality;other/private ;<=10
CZ26229269;CZ25506820;0,9165;VIENNA POINT a.s.;CZ0642;1;45211350-7;2;1;;0;Vědeckotechnologický park - VIENNA POINT II - novostavba administrativně-technologické budovy - dodatečné stavební práce 1-4;;PS BRNO, s.r.o.;CZ0642;czechr;25-Sep-12;2012;50947,08;0;negotiation;price plus quality;other/private ;<=10
CZ75122979;CZ25322257;0,91391;Multifunkční centrum zámek Lednice, zájmové sdruž;CZ0642;1;45454100-5;0;1;CZ064;1;Změna stavby zámecké jízdárny Lednice – multifunkční centrum;;IMOS Brno, a.s.;CZ0642;czechr;23-Nov-12;2012;71752,229;0;negotiation;missing;other/private ;<=10
CZ00295671;CZ26230992;0,89018;MĚSTO VELKÉ MEZIŘÍČÍ;CZ0635;1;45000000-7;0;0;;;Stavební úpravy části bývalého areálu AGADOS ve Velkém Meziříčí - vícepráce;;Outulný, a.s.;CZ0634;czechr;2-Oct-12;2012;10272,089;0;negotiation;missing;regional/local ;50<x<=100
CZ44555601;CZ00531766;0,88901;Univerzita Jana Evangelisty Purkyně v Ústí nad Labem;CZ0427;1;45214800-8;0;0;CZ042;0;Dodatečné stavební práce Multifunkční informační a vzdělávací centrum UJEP - 2011/0076;;UNISTAV a.s.;CZ0642;czechr;15-Feb-12;2012;26016,514;0;negotiation;missing;established by public law;500<x
CZ00265781;CZ62242105;0,87194;Město Žatec;CZ0424;1;45233100-0;0;0;CZ042;1;Rekonstrukce ul. Hájkova s propojením do ul. Svatováclavská, Žatec;;SILNICE GROUP a.s.;CZ0100;czechr;28-Nov-12;2012;29934,692;0;negotiation;missing;regional/local ;50<x<=100
CZ00241687;CZ48026921;0,8238;MĚSTSKÁ ČÁST PRAHA 13;CZ0100;1;45215100-8;0;1;CZ010;;Zateplení polikliniky Seydlerova, Praha 13 - dodatečné stavební práce;;VLTAVÍN HOLDING stavební podnik s.r.o.;CZ0100;czechr;29-Oct-12;2012;166181,57;0;negotiation;missing;regional/local ;100<x<=500
CZ00259586;CZ18248675;0,78803;Město Sokolov;CZ0413;1;45000000-7;0;1;CZ041;0;Rekonstrukce bazénu 6. ZŠ a sadové úpravy;;ISSO - Inženýrské stavby Sokolov, s. r. o.;CZ0413;czechr;9-Jan-12;2012;254299,44;0;negotiation;missing;regional/local ;100<x<=500
CZ46956484;CZ46342796;0,77456;Římskokatolická farnost Velehrad;CZ0722;1;45000000-7;0;1;CZ072;;Rekonstrukce ploch nádvoří;;OHL ŽS, a.s.;CZ0642;czechr;13-Jun-12;2012;18232,056;0;negotiation;missing;other/private ;<=10
CZ26396645;CZ45357269;0,76978;Techmania Science Center o.p.s.;CZ0323;1;45000000-7;0;1;CZ032;0;SO 56 - suterén+posun kopule-VZT část II.;;BERGER BOHEMIA a. s.;CZ0323;czechr;30-Nov-12;2012;38324,03;0;negotiation;missing;other/private ;10<x<=25
CZ26396645;CZ45357269;0,76384;Techmania Science Center o.p.s.;CZ0323;1;45000000-7;0;1;CZ032;0;Provedení nového ocelového schodiště S přístavek;;BERGER BOHEMIA a. s.;CZ0323;czechr;30-Nov-12;2012;1852,3753;0;negotiation;missing;other/private ;10<x<=25
CZ26396645;CZ45357269;0,76177;Techmania Science Center o.p.s.;CZ0323;1;45000000-7;0;1;CZ032;0;Zesílení stropní konstrukce nad 2. NP;;BERGER BOHEMIA a. s.;CZ0323;czechr;21-Nov-12;2012;61381,715;0;negotiation;missing;other/private ;10<x<=25
CZ00304450;CZ48399477;0,75866;Město Vsetín;CZ0723;1;45214100-1;0;1;CZ072;0;Dodatečné stavební práce k VZ Stavební úpravy Mateřské školy  Vsetín, Kobzáňová 1537 - dodatek č.3;;TM  Stav, spol. s r.o.;CZ0723;czechr;3-May-12;2012;10363,385;0;negotiation;missing;regional/local ;100<x<=500
CZ00304450;CZ48399477;0,7577;Město Vsetín;CZ0723;1;45214100-1;0;1;CZ072;0;Dodatečné stavební práce k VZ Stavební úpravy Mateřské školy  Vsetín, Kobzáňová 1537 - dodatek č.4;;TM  Stav, spol. s r.o.;CZ0723;czechr;27-Apr-12;2012;5533,1725;0;negotiation;missing;regional/local ;100<x<=500
CZ00304450;CZ48399477;0,75718;Město Vsetín;CZ0723;1;45214100-1;0;1;CZ072;0;Dodatečné stavební práce k VZ Stavební úpravy Mateřské školy  Vsetín, Kobzáňová 1537 - dodatek č.2;;TM  Stav, spol. s r.o.;CZ0723;czechr;12-Mar-12;2012;36953,827;0;negotiation;missing;regional/local ;100<x<=500
CZ00304450;CZ48399477;0,75364;Město Vsetín;CZ0723;1;45214100-1;0;1;CZ072;0;Dodatečné stavební práce k VZ Stavební úpravy Mateřské školy  Vsetín, Kobzáňová 1537 - dodatek č.1;;TM  Stav, spol. s r.o.;CZ0723;czechr;8-Mar-12;2012;5885,547;0;negotiation;missing;regional/local ;100<x<=500
CZ26396645;CZ45357269;0,7512;Techmania Science Center o.p.s.;CZ0323;1;45000000-7;0;1;CZ032;0;Zásyp a zrušení šachty u opěrné stěny;;BERGER BOHEMIA a. s.;CZ0323;czechr;21-Nov-12;2012;3381,5578;0;negotiation;missing;other/private ;10<x<=25
CZ00240117;CZ00014915;0,75;Město Čelákovice;CZ0209;1;45000000-7;1;1;CZ020;0;Revitalizace náměstí 5. května v Čelákovicích- Dodatek č.2;;Metrostav a.s.;CZ0100;czechr;2-Jul-12;2012;23529,884;0;negotiation;lowest price;regional/local ;25<x<=50
CZ00275051;CZ28808495;0,75;Obec Liberk;CZ0524;1;45000000-7;1;1;CZ052;0;Výměna  zdroje tepla a zateplení objektu MŠ Liberk č.p. 4;;D-energy s.r.o.;CZ0524;czechr;24-Aug-12;2012;2749,2873;0;negotiation;lowest price;regional/local ;<=10
CZ26095165;CZ26030152;0,75;Nemocnice Prachatice, a.s.;CZ0315;1;45000000-7;1;1;CZ031;0;Centrální budova Nemocnice Prachatice, a.s. – snížení energetické náročnosti;;ARSTAV s.r.o.;CZ0313;czechr;3-Jan-12;2012;172655,18;0;negotiation;lowest price;supported body/soe ;100<x<=500
CZ26095165;CZ26030152;0,75;Nemocnice Prachatice, a.s.;CZ0315;1;45000000-7;2;0;CZ031;0;Stavební úpravy Nemocnice Prachatice – chirurgie;;ARSTAV s.r.o.;CZ0313;czechr;20-Jan-12;2012;147212,81;0;negotiation;lowest price;supported body/soe ;100<x<=500
CZ00259349;CZ40523284;0,75;Město Chodov;CZ0413;1;45212225-9;1;1;CZ041;0;Sportovní hala Chodov;;TIMA, spol. s r.o. - obchodně výrobní služby;CZ0412;czechr;21-May-12;2012;107006,5;0;negotiation;lowest price;regional/local ;50<x<=100
CZ00259349;CZ40523284;0,75;Město Chodov;CZ0413;1;45212225-9;1;1;CZ041;0;Sportovní hala Chodov;;TIMA, spol. s r.o. - obchodně výrobní služby;CZ0412;czechr;18-Jun-12;2012;15766,484;0;negotiation;lowest price;regional/local ;50<x<=100
CZ00256986;CZ45274924;0,75;Město Nepomuk;CZ0324;1;45233140-2;1;1;CZ032;;Nepomuk - rekonstrukce místních komunikací - CZ.1.14/1.5.00/13.02501 - dodatečné stavební práce 2;;EUROVIA CS, a.s.;CZ0100;czechr;21-Sep-12;2012;17086,048;0;negotiation;lowest price;regional/local ;25<x<=50
