Source,Target,VID.i,VID.s,cri_comp,icl.i,ich.i,icm.i,scl.i,sch.i,scm.i,icl.s,ich.s,icm.s,scl.s,sch.s,scm.s,anb_name,anb_nuts,ca_bids,ca_cpv,ca_criteria_count,ca_eufund,ca_nuts,ca_scntr_sc,ca_title,cft_duration,cm_mod,w_consortium,w_name,w_nuts,country,ca_date,ca_year,ca_contract_value,nocft,ca_procedure,ca_criterion,anb_type,anb_sector,anb_empl_cat,cpv_div
HU735605,HU13855453,309,735,0.4391475,0,0,0,0,5,1,0,0,0,0,0,0,Miskolc Megyei Jogú Város Önkormányzata,HU311,1,71000000-8,1,1,HU311,NA,Diósgy?ri vár bels?építészetének tervez?i m?vezetése,NA,no contrac,0,NAPUR ARCHITECT Építészeti Iroda Korlátolt Felel?sség?,HU101,hungary,22-Jun-12,2012,238,no call for tenders published,negotiation,lowest price,regional/local ,general public services,500<x,architectural
HU725361,HU10457726,168,388,0.5000433,0,0,0,6,0,4,0,0,0,0,0,0,Békéscsaba Megyei Jogú Város Önkormányzata,HU332,1,71240000-2,2,0,HU332,0,Eredményr?l szóló tájékoztató Békéscsaba közigazgatási területén csapadékvíz elvezetés tervezése,NA,contract m,0,DUPLEX ÉPITÖ ÉS FÖLDMÉRÖ MÉRNÖKI KFT,HU332,hungary,3-Oct-11,2011,674,no call for tenders published,open,price plus quality,regional/local ,general public services,100<x<=500,architectural
HU726478,HU15000074,182,815,0.4375,0,0,0,0,1,0,0,0,1,0,1,0,Mez?kövesd Város Önkormányzata,HU311,1,71322000-1,1,0,HU311,NA,engedélyezési tervek módosítása a Kavicsos-tavi szabadid?park kialakítására (generáltervezés),NA,no contrac,0,Bukta Csaba,HU311,hungary,25-Sep-09,2009,736,no call for tenders published,negotiation,lowest price,regional/local ,general public services,500<x,architectural
HU327888,HU10259470,85,349,0.5009894,1,3,6,1,1,2,0,2,2,0,1,2,Országos Rehabilitációs És Szociális Szakért?i In,HU101,1,71220000-6,1,1,HU101,1,Az ORSZI Oktatási és Informatikai Központban létesítend? személyfelvonó engedélyezési tervdokumentációjának elkészítése,NA,no contrac,0,KONSTRUMA Mérnöki Iroda Korlátolt Felel?sség? Társasá,HU101,hungary,5-Oct-09,2009,746,no call for tenders published,other/framework,lowest price,national ,missing,500<x,architectural
HU724540,HU15000217,155,835,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Kecskemét Megyei Jogú Város Önkormányzata,HU331,1,71356100-9,1,0,HU331,0,m?szaki ellen?r 2010 2 negyedév,NA,no contrac,1,KECSKEMÉT MÉRNÖK KONZORCIUM KÉPVISELETÉBEN: UTIBER KÖ,HU101,hungary,15-Oct-10,2010,803,no call for tenders published,open,lowest price,regional/local ,missing,100<x<=500,architectural
HU726478,HU20773935,182,908,0.5047048,0,0,0,0,1,0,0,0,0,0,0,0,Mez?kövesd Város Önkormányzata,HU311,1,71322000-1,1,0,HU311,0,engedélyezési tervek módosítása a Kavicsos-tavi szabadid?park kialakítására (úttervek),NA,no contrac,0,SZILA 2000 Épít?ipari és Mérnöki Szolgáltató Bt,HU333,hungary,25-Sep-09,2009,1288,no call for tenders published,other/framework,lowest price,regional/local ,general public services,500<x,architectural
HU730677,HU10898587,246,463,0.5001767,0,0,0,0,0,0,0,0,0,0,0,0,Üll? Város Önkormányzata,HU102,1,71000000-8,1,0,HU102,0,Üll?,,,,,,,,,,,,,,,,
HU14863477,HU15000375,41,864,0.5003468,0,0,0,0,0,0,0,0,0,0,0,0,Gyöngyös Városfejleszt? Korlátolt Felel?sség? Tár,HU312,1,71300000-1,2,1,HU312,1,Gyöngyös Város Önkormányzat funkciób?vít? építési beruházásaihoz kapcsolódó m?szaki ellen?ri tevékenység végzése körében felmerül? pótmunka eljárás tájékoztatója,NA,no contrac,0,Szabó Bálint e. v.,HU332,hungary,6-Feb-12,2012,2061,no call for tenders published,other/framework,price plus quality,established by public law,general public services,missing,architectural
HU12006003,HU12293995,16,597,0.5016556,0,3,0,0,2,3,0,2,0,0,0,0,F?városi Ingatlankezel? M?szaki Vállalkozói Zártkö,HU101,1,71410000-5,1,0,HU101,0,Budapest Új Városfejlesztési Koncepció elkészítésében való közrem?ködés közbeszerzési eljárásban tájékoztató az eljárás eredményér?l.,157,no contrac,0,M?-HELY Tervez? és Tanácsadó Zártkör?en M?köd? Részv,HU101,hungary,19-Sep-11,2011,2118,no call for tenders published,open,lowest price,other/private ,other,missing,architectural
HU731784,HU11252469,268,506,0.5022426,0,0,0,2,0,0,0,0,5,2,0,3,Kisvárda Város Önkormányzata,HU323,1,71220000-6,1,1,HU323,1,Tájékoztató az eljárás eredményér?l - „Kisvárda Szent László u. 2. (hrsz: 2547) alatti ingatlanon lév? Poncsák Cukrászda homlokzat felújítás - kiviteli tervek elkészítése”,NA,no contrac,0,ART VITAL TERVEZÖ,,,,,,,,,,,,
