Source,Target,VID.i,VID.s,cri_comp,icl.i,ich.i,icm.i,scl.i,sch.i,scm.i,icl.s,ich.s,icm.s,scl.s,sch.s,scm.s,anb_name,anb_nuts,ca_bids,ca_cpv,ca_criteria_count,ca_eufund,ca_nuts,ca_scntr_sc,ca_title,cft_duration,cm_mod,w_consortium,w_name,w_nuts,country,ca_date,ca_year,ca_contract_value,nocft,ca_procedure,ca_criterion,anb_type,anb_sector,anb_empl_cat,cpv_div
HU432744,HU13958147,45,130,0.399492,0,0,0,0,4,8,5,0,0,28,10,40,Zala Megyei Kórház,HU223,4,09123000-7,8,0,HU223,0,Földgáz beszerzése,400,no contrac,0,E.ON Energiaszolgáltató Korlátolt Felel?sség? Társasá,HU101,hungary,17-Jul-10,2010,546736.64,call for tender published,other/framework,price plus quality,regional/local ,missing,500<x,petroleum products
HU735627,HU10734441,92,102,0.0753833,0,0,0,2,0,0,0,0,0,3,0,0,Szeged Megyei Jogú Város Önkormányzat,HU333,5,09310000-5,7,0,HU333,0,Villamos energia árubeszerzése 2010. Szeged,309,contract m,0,EDF DÉMÁSZ Zrt.,HU333,hungary,2-Jun-10,2010,5332500,call for tender published,open,price plus quality,regional/local ,general public services,500<x,petroleum products
HU11103956,HU10625790,7,101,0.5428752,0,0,0,0,10,1,2,2,1,0,55,11,ALBA VOLÁN Zártkör?en M?köd? Autóbuszközlekedési,,1,09130000-9,5,0,HU211,0,Gázolaj és benzin szállítása (MSZ EN 590:2004),679,no contrac,0,MOL Magyar Olaj- és Gázipari Nyilvánosan M?köd? Részv�,HU101,hungary,9-Sep-09,2009,22386829,call for tender published,negotiation,price plus quality,other/private ,missing,missing,petroleum products
HU726906,HU10625790,63,101,0.45325,0,0,0,0,10,1,2,2,1,0,55,11,Hódmez?vásárhely Megyei Jogú Város Önkormányzat,HU333,1,09132000-3,4,0,HU333,0,Tájékoztató az eljárás eredményér?l - Üzemanyag beszerzés a Városellátó Nonprofit Kft. részére (új eljárás),147,no contrac,0,MOL Magyar Olaj- és Gázipari Nyilvánosan M?köd? Részv�,HU101,hungary,25-Oct-10,2010,76223.68,call for tender published,negotiation,price plus quality,regional/local ,general public services,500<x,petroleum products
HU345451,HU10734441,40,102,0.0928138,0,0,0,2,0,0,0,0,0,3,0,0,Dr. Réthy Pál Kórház - Rendel?intézet,HU332,5,09310000-5,3,0,HU332,0,Villamosenergia küls? vállalkozóval történ? beszerzése.,NA,no contrac,0,EDF DÉMÁSZ Zrt.,HU333,hungary,21-Mar-11,2011,425972.7,call for tender published,open,price plus quality,other/private ,missing,500<x,petroleum products
HU490353,HU10897830,46,108,0.5052062,0,0,0,0,11,2,2,1,1,1,66,24,F?városi Önkormányzat Szent János Kórháza És És,HU101,2,09123000-7,3,0,HU101,0,Földgáz szállítási szerz?dés,NA,no contrac,0,F?városi Gázm?vek Zártkör?en M?köd? Részvénytársas�,HU101,hungary,8-Sep-10,2010,1342368,call for tender published,other/framework,price plus quality,regional/local ,missing,500<x,petroleum products
HU14168820,HU10807262,19,106,0.0366589,3,0,0,0,0,3,2,2,0,0,0,1,Veszprém Megyei Csolnoky Ferenc Kórház Nonprofit Zá,HU213,16,09344000-2,2,0,HU213,0,"7/2010. Izotópok"" - eredmény""",NA,no contrac,0,IZOTÓP INTÉZET Kutató,,,,,,,,,,,,
HU14168820,HU10814505,19,107,0.0402562,3,0,0,0,0,3,2,2,0,0,0,1,Veszprém Megyei Csolnoky Ferenc Kórház Nonprofit Zá,HU213,9,09344000-2,2,0,HU213,0,"7/2010. Izotópok"" - eredmény""",NA,no contrac,0,IZINTA KERESKEDELMI KFT,HU101,hungary,8-Oct-10,2010,58.424.455,call for tender published,open,price plus quality,established by public law,missing,missing,petroleum products
HU14168820,HU12090503,19,113,0.0351455,3,0,0,0,0,3,2,2,0,0,0,1,Veszprém Megyei Csolnoky Ferenc Kórház Nonprofit Zá,HU213,6,09344000-2,2,0,HU213,0,"7/2010. Izotópok"" - eredmény""",NA,no contrac,0,MEDI-RADIOPHARMA EGÉSZSÉGÜGYI SZERVEZÖ,,,,,,,,,,,,
HU12283226,HU11810690,13,112,0.407921,0,0,0,0,0,0,0,0,0,0,0,0,MTI Magyar Távirati Iroda Zártkör?en M?köd? Részv�,HU101,4,09310000-5,2,0,HU1,,,,,,,,,,,,,,,,,,
HU733469,HU12898019,85,122,0.0862742,0,0,0,16,0,3,6,1,2,136,3,51,Dunaföldvár Város Önkormányzata,HU233,4,09310000-5,2,0,HU233,0,Villamos energia beszerzés Paksi Kistérség Önkormányzatai részére,517,no contrac,0,MVM Partner Energiakereskedelmi Zártkör?en Müköd? Rész,HU101,hungary,26-Aug-11,2011,62.253.186,call for tender published,open,price plus quality,regional/local ,general public services,50<x<=100,petroleum products
HU10863877,HU10625790,3,101,0.0375347,3,0,3,4,0,24,2,2,1,0,55,11,DMRV Duna Menti Regionális Vízm? Zártkör?en M?köd?,HU102,3,09000000-3,2,0,HU102,0,Üzemanyag beszerzés (2011-2012),NA,no contrac,0,MOL Magyar Olaj- és Gázipari Nyilvánosan M?köd? Részv�,HU101,hungary,8-Apr-11,2011,98.303.591,call for tender published,open,price plus quality,established by public law,environment,missing,petroleum products
HU10863877,HU10625790,3,101,0.0433876,3,0,3,4,0,24,2,2,1,0,55,11,DMRV Duna Menti Regionális Vízm? Zártkör?en M?köd?,HU102,3,09000000-3,2,0,HU102,0,Üzemanyag beszerzés (2011-2012),NA,no contrac,0,MOL Magyar Olaj- és Gázipari Nyilvánosan M?köd? Részv�,HU101,hungary,8-Apr-11,2011,316492.74,call for tender published,open,price plus quality,established by public law,environment,missing,petroleum products
HU10863877,HU10625790,3,101,0.0497255,3,0,3,4,0,24,2,2,1,0,55,11,DMRV Duna Menti Regionális Vízm? Zártkör?en M?köd?,HU102,3,09000000-3,2,0,HU102,0,Üzemanyag beszerzés (2011-2012),NA,no contrac,0,MOL Magyar Olaj- és Gázipari Nyilvánosan M?köd? Részv�,HU101,hungary,8-Apr-11,2011,576009.66,call for tender published,open,price plus quality,established by public law,environment,missing,petroleum products
HU733469,HU12898019,85,122,0.0856268,0,0,0,16,0,3,6,1,2,136,3,51,Dunaföldvár Város Önkormányzata,HU233,3,09310000-5,2,0,HU233,0,Villamos energia beszerzés Paksi Kistérség Önkormányzatai részére,517,no contrac,0,MVM Partner Energiakereskedelmi Zártkör?en Müköd? Rész,HU101,hungary,26-Aug-11,2011,54.321.505,call for tender published,open,price plus quality,regional/local ,general public services,50<x<=100,petroleum products
HU735605,HU12928130,91,123,0.0491617,0,0,0,4,0,2,0,1,0,10,1,10,Miskolc Megyei Jogú Város Önkormányzata,HU311,3,09310000-5,2,0,HU311,0,Miskolc Megyei Jogú Város ajánlatkér? részére villamos energia szállításra szóló,,,,,,,,,,,,,,,,
HU11385174,HU13958147,8,130,0.4301715,0,0,0,0,4,8,5,0,0,28,10,40,MISKOLCI HÖSZOLGÁLTATO KFT /MIHÖ KFT/,HU311,3,09310000-5,2,0,HU311,0,Villamos energia szállítása 6 vállalat részére,NA,no contrac,0,E.ON Energiaszolgáltató Korlátolt Felel?sség? Társasá,HU101,hungary,20-Jan-12,2012,672457.5,no call for tenders published,open,price plus quality,established by public law,general public services,missing,petroleum products
HU760346,HU14927939,95,134,0.0944492,0,0,0,0,0,0,0,0,0,0,0,0,Nyugat-Magyarországi Egyetem,HU221,3,09123000-7,2,0,HU1,,,,,,,,,,,,,,,,,,
HU329398,HU10542925,36,99,0.407564,0,1,0,0,12,1,0,3,0,0,3,0,Központi Szolgáltatási F?igazgatóság,HU101,2,09130000-9,2,0,HU,1,Gépjárm?-üzemanyag és üzemanyagkártya tölt?állomási kiszolgálással,NA,contract m,0,OMV HUNGÁRIA ÁSVÁNYOLAJ KFT,HU101,hungary,23-Dec-09,2009,40613117,call for tender published,negotiation,price plus quality,national ,missing,500<x,petroleum products
HU10863877,HU10625790,3,101,0.0361568,3,0,3,4,0,24,2,2,1,0,55,11,DMRV Duna Menti Regionális Vízm? Zártkör?en M?köd?,HU102,2,09000000-3,2,0,HU102,0,Üzemanyag beszerzés (2011-2012),NA,no contrac,0,MOL Magyar Olaj- és Gázipari Nyilvánosan M?köd? Részv�,HU101,hungary,8-Apr-11,2011,49.641.302,call for tender published,open,price plus quality,established by public law,environment,missing,petroleum products
HU10863877,HU10625790,3,101,0.0400472,3,0,3,4,0,24,2,2,1,0,55,11,DMRV Duna Menti Regionális Vízm? Zártkör?en M?köd?,HU102,2,09000000-3,2,0,HU102,0,Üzemanyag beszerzés (2011-2012),NA,no contrac,0,MOL Magyar Olaj- és Gázipari Nyilvánosan M?köd? Részv�,HU101,hungary,8-Apr-11,2011,189622.25,call for tender published,open,price plus quality,established by public law,environment,missing,petroleum products
HU10363315,HU10625790,1,101,0.3901729,0,0,0,0,10,1,2,2,1,0,55,11,NYÍREGYHÁZI VÁROSÜZEMELTET? és VAGYONKEZEL? KORLÁ,HU323,1,09134000-7,2,0,HU323,0,gázolaj beszerzése,365,no contrac,0,MOL Magyar Olaj- és Gázipari Nyilvánosan M?köd? Részv�,HU101,hungary,2-Nov-09,2009,151085,call for tender published,negotiation,price plus quality,established by public law,general public services,missing,petroleum products
HU372383,HU11147073,41,110,0.3892916,0,0,0,0,0,4,2,0,1,6,0,4,Hajdú-Bihar Megyei Önkormányzat Hivatala,HU321,1,09123000-7,2,0,HU321,0,Földgázbeszerzés 2011,369,no contrac,0,TIGÁZ Tiszántúli Gázszolgáltató Zártkör?en M?köd?,HU321,hungary,8-Jul-11,2011,204106.76,call for tender published,negotiation,price plus quality,regional/local ,general public services,100<x<=500,petroleum products
HU732813,HU12614356,84,120,0.5785177,0,0,0,0,0,0,0,0,0,0,0,0,Jánoshida Községi Önkormányzat,HU322,1,09331000-8,2,1,HU322,1,Helyi villamos energia igény kielégítése megújuló energiaforrással (EH),NA,no contrac,0,Elektro Mechanix M?szaki és Kereskedelmi Korlátolt Felel?,HU322,hungary,30-May-11,2011,74943.75,no call for tenders published,open,price plus quality,regional/local ,general public services,25<x<=50,petroleum products
