Source;Target;cri_comp;icl.i;ich.i;icm.i;scl.s;sch.s;scm.s;anb_name;anb_nuts;ca_bids;ca_cpv;ca_criteria_count;ca_eufund;ca_nuts;ca_scntr_sc;ca_title;w_consortium;w_name;w_nuts;country;rowid;ca_date;ca_year;ca_contract_value;nocft;ca_procedure;ca_criterion;anb_type;anb_sector;anb_empl_cat
HU11871750;HU10088173;0.0931539;0;0;0;0;0;0;MONGOL-AGRÁR Mez?gazdasági Termel?-, Szolgáltató- �;HU322;3;45252100-9;3;1;HU322;0;Álomzugi sertéstelep trágyakezelési és környezetvédelmi korszer?sítés, technológiai fejlesztés és b?vítée;0;MEZÖTUR-TISZAZUGI VIZGAZDÁLKODÁSI TÁRSULAT;HU322;hungary;167534;10-Aug-09;2009;162203.87;1;open;price plus quality;other/private ;missing;missing
HU397603;HU10088795;0.0530959;1;0;0;0;0;0;Kaposf? Község Önkormányzata;HU232;7;45000000-7;1;0;HU232;0;óvoda és általános iskola felújítási munkái;0;KAPOSVÖLGYI VIZITÁRSULAT;HU232;hungary;167544;9-Sep-09;2009;20.994.014;1;open;lowest price;regional/local ;general public services;10<x<=25
HU13899893;HU10234116;0.0926216;1;0;0;0;0;0;F?GÁZ Földgázelosztási Kft.;HU101;2;45231220-3;3;0;HU101;0;Budapest, XI. kerület Kápolna tér - Ihász utca keresztez?désében (hrsz.:41825) gázelosztó vezeték alépítményi munkái létesítése;0;RAMICO GÁZVEZETÉKÉPITÖ ÉS SZERELÖ KFT;HU101;hungary;168193;21-Oct-09;2009;9325;0;missing/error;price plus quality;established by public law;environment;missing
HU13899893;HU10234116;0.5095335;1;0;0;0;0;0;F?GÁZ Földgázelosztási Kft.;HU101;4;45231220-3;3;0;HU101;0;Budapest, IX. kerület, T?zoltó utca, T?zoltó utca 39-45. szám - Lenhossék utca közötti szakaszán (hrsz.:37282) gázelosztó vezetékek létesítése;0;RAMICO GÁZVEZETÉKÉPITÖ ÉS SZERELÖ KFT;HU101;hungary;168201;31-Aug-09;2009;80136;1;other/framework;price plus quality;established by public law;environment;missing
HU735836;HU10238433;0.1015334;6;0;0;6;0;0;Budapest F?város XX. Kerület Pesterzsébet Önkormán;HU101;5;45233120-6;1;0;HU101;1;Tájékoztató az eljárás eredményér?l Útépítések 2009. 11 utca 9 részben;0;DEPONÁTOR MAGAS- ÉS MÉLYÉPITÖ SZOLGÁLTATO KFT;HU102;hungary;168293;3-Aug-09;2009;130777.5;1;open;lowest price;regional/local ;missing;100<x<=500
HU730105;HU10238433;0.0673865;28;1;16;6;0;0;Budaörs Város Önkormányzata;HU102;4;45233120-6;4;0;HU102;0;Út- és közm? építés;0;DEPONÁTOR MAGAS- ÉS MÉLYÉPITÖ SZOLGÁLTATO KFT;HU102;hungary;168286;11-Sep-09;2009;55.642.078;1;open;price plus quality;regional/local ;missing;100<x<=500
HU735858;HU10238433;0.0843319;66;0;0;6;0;0;Budafok-Tétény Budapest XXII. Kerületi Önkormányza;HU101;8;45233120-6;1;0;HU;1;XXII. kerületben szilárd burkolatú útépítések;0;DEPONÁTOR MAGAS- ÉS MÉLYÉPITÖ SZOLGÁLTATO KFT;HU102;hungary;168296;6-Mar-09;2009;16.832.903;1;open;lowest price;regional/local ;missing;100<x<=500
HU735858;HU10238433;0.085935;66;0;0;6;0;0;Budafok-Tétény Budapest XXII. Kerületi Önkormányza;HU101;64;45233120-6;1;0;HU;1;XXII. kerületben szilárd burkolatú útépítések;0;DEPONÁTOR MAGAS- ÉS MÉLYÉPITÖ SZOLGÁLTATO KFT;HU102;hungary;168295;6-Mar-09;2009;25.352.944;1;open;lowest price;regional/local ;missing;100<x<=500
HU735836;HU10238433;0.0907863;6;0;0;6;0;0;Budapest F?város XX. Kerület Pesterzsébet Önkormán;HU101;2;45233120-6;1;0;HU101;0;Tájékoztató az eljárás eredményér?l Útépítések 2009. 11 utca 9 részben;0;DEPONÁTOR MAGAS- ÉS MÉLYÉPITÖ SZOLGÁLTATO KFT;HU102;hungary;168292;3-Aug-09;2009;10.163.508;1;open;lowest price;regional/local ;missing;100<x<=500
HU735858;HU10238433;0.0869422;66;0;0;6;0;0;Budafok-Tétény Budapest XXII. Kerületi Önkormányza;HU101;8;45233120-6;1;0;HU;1;XXII. kerületben szilárd burkolatú útépítések;0;DEPONÁTOR MAGAS- ÉS MÉLYÉPITÖ SZOLGÁLTATO KFT;HU102;hungary;168297;6-Mar-09;2009;31.307.162;1;open;lowest price;regional/local ;missing;100<x<=500
