"","id","Contracts","Bridging Capacity","Influence","infl_norm"
"1","HU724540",23,0,0.005,0.173913043478261
"2","HU15000217",22,0,0.005,0.173913043478261
"3","HU735748",9,0,0.01,0.391304347826087
"4","HU12026946",2,0,0.002,0.0434782608695652
"5","HU731322",7,0,0.007,0.260869565217391
"6","HU11316529",2,0,0.002,0.0434782608695652
"7","HU12045716",3,0,0.003,0.0869565217391304
"8","HU726456",6,0,0.009,0.347826086956522
"9","HU11062103",2,0,0.004,0.130434782608696
"10","HU728537",1,0,0.004,0.130434782608696
"11","HU11142102",1,0,0.004,0.130434782608696
"12","HU12257728",4,0,0.004,0.130434782608696
"13","HU728944",3,0,0.007,0.260869565217391
"14","HU11956266",1,0,0.003,0.0869565217391304
"15","HU732198",1,0,0.004,0.130434782608696
"16","HU14393383",1,0,0.004,0.130434782608696
"17","HU726490",2,0,0.005,0.173913043478261
"18","HU12468320",1,0,0.003,0.0869565217391304
"19","HU729325",6,0,0.008,0.304347826086957
"20","HU11385277",1,0,0.002,0.0434782608695652
"21","HU724429",2,0,0.005,0.173913043478261
"22","HU14480443",1,0,0.003,0.0869565217391304
"23","HU728032",1,0,0.004,0.130434782608696
"24","HU10888162",1,0,0.004,0.130434782608696
"25","HU329354",7,0,0.004,0.130434782608696
"26","HU13164490",7,0,0.004,0.130434782608696
"27","HU12487293",1,0,0.003,0.0869565217391304
"28","HU731290",1,0,0.004,0.130434782608696
"29","HU10725591",1,0,0.004,0.130434782608696
"30","HU724319",2,0,0.005,0.173913043478261
"31","HU20443140",1,0,0.003,0.0869565217391304
"32","HU735715",1,0,0.004,0.130434782608696
"33","HU13656838",1,0,0.004,0.130434782608696
"34","HU12165814",3,0,0.007,0.260869565217391
"35","HU12050741",1,0,0.003,0.0869565217391304
"36","HU726445",1,0,0.004,0.130434782608696
"37","HU11582395",1,0,0.004,0.130434782608696
"38","HU727398",1,0,0.004,0.130434782608696
"39","HU13327295",1,0,0.004,0.130434782608696
"40","HU724012",3,0,0.004,0.130434782608696
"41","HU10683967",3,0,0.004,0.130434782608696
"42","HU730095",1,0,0.003,0.0869565217391304
"43","HU10522532",2,0,0.005,0.173913043478261
"44","HU728746",2,0,0.005,0.173913043478261
"45","HU13582432",1,0,0.003,0.0869565217391304
"46","HU14719598",1,0,0.003,0.0869565217391304
"47","HU731113",1,0,0.004,0.130434782608696
"48","HU15000248",1,0,0.004,0.130434782608696
"49","HU429739",2,0,0.004,0.130434782608696
"50","HU12579509",2,0,0.004,0.130434782608696
"51","HU14658833",1,0,0.003,0.0869565217391304
"52","HU490650",1,0,0.003,0.0869565217391304
"53","HU10820847",2,0,0.005,0.173913043478261
"54","HU735638",23,0,0.024,1
"55","HU13268422",1,0,0.001,0
"56","HU735793",1,0,0.004,0.130434782608696
"57","HU12938263",1,0,0.004,0.130434782608696
"58","HU725097",1,0,0.004,0.130434782608696
"59","HU13224082",1,0,0.004,0.130434782608696
"60","HU726928",1,0,0.004,0.130434782608696
"61","HU26057820",1,0,0.004,0.130434782608696
"62","HU308900",1,0,0.004,0.130434782608696
"63","HU11971829",1,0,0.004,0.130434782608696
"64","HU732671",2,0,0.004,0.130434782608696
"65","HU14136041",2,0,0.004,0.130434782608696
"66","HU727002",2,0,0.003,0.0869565217391304
"67","HU12068528",1,0,0.002,0.0434782608695652
"68","HU728328",3,0,0.004,0.130434782608696
"69","HU11143419",6,0,0.009,0.347826086956522
"70","HU725053",3,0,0.007,0.260869565217391
"71","HU20866015",1,0,0.003,0.0869565217391304
"72","HU731487",2,0,0.004,0.130434782608696
"73","HU10336476",2,0,0.004,0.130434782608696
"74","HU726489",2,0,0.004,0.130434782608696
"75","HU12573974",2,0,0.004,0.130434782608696
"76","HU733283",2,0,0.004,0.130434782608696
"77","HU10222115",2,0,0.004,0.130434782608696
"78","HU735627",3,0,0.007,0.260869565217391
"79","HU14768523",1,0,0.003,0.0869565217391304
"80","HU730138",1,0,0.003,0.0869565217391304
"81","HU445847",1,0,0.004,0.130434782608696
"82","HU15000160",1,0,0.004,0.130434782608696
"83","HU327877",1,0,0.004,0.130434782608696
"84","HU13960557",1,0,0.004,0.130434782608696
"85","HU428886",1,0,0.003,0.0869565217391304
"86","HU733568",3,0,0.005,0.173913043478261
"87","HU10539624",2,0,0.004,0.130434782608696
"88","HU22398871",1,0,0.003,0.0869565217391304
"89","HU308791",1,0,0.003,0.0869565217391304
"90","HU10569731",3,0,0.007,0.260869565217391
"91","HU311454",1,0,0.004,0.130434782608696
"92","HU10657555",1,0,0.004,0.130434782608696
"93","HU12037984",5,0,0.005,0.173913043478261
"94","HU402570",2,0,0.003,0.0869565217391304
"95","HU10543359",1,0,0.002,0.0434782608695652
"96","HU336280",1,0,0.002,0.0434782608695652
"97","HU728043",1,0,0.004,0.130434782608696
"98","HU13244729",1,0,0.004,0.130434782608696
"99","HU730150",1,0,0.004,0.130434782608696
"100","HU13709785",1,0,0.004,0.130434782608696
"101","HU735858",2,0,0.005,0.173913043478261
"102","HU15308799",1,0,0.003,0.0869565217391304
"103","HU402723",1,0,0.003,0.0869565217391304
"104","HU13427694",2,0,0.005,0.173913043478261
"105","HU11906522",10,0,0.01,0.391304347826087
"106","HU10554885",7,0,0.009,0.347826086956522
"107","HU14542130",1,0,0.003,0.0869565217391304
"108","HU735760",1,0,0.004,0.130434782608696
"109","HU10500264",1,0,0.004,0.130434782608696
"110","HU735616",1,0,0.004,0.130434782608696
