"","id","Contracts","Bridging Capacity","Influence","infl_norm"
"1","HU18089996",77,0,0.008,0.0909090909090909
"2","HU15000355",31,0,0.003,0.025974025974026
"3","HU15000356",18,0,0.002,0.012987012987013
"4","HU727200",1,0,0.004,0.038961038961039
"5","HU11453172",1,0,0.004,0.038961038961039
"6","HU325884",2,0,0.003,0.025974025974026
"7","HU10973581",4,0,0.005,0.051948051948052
"8","HU12283226",7,0,0.016,0.194805194805195
"9","HU28244828",1,0,0.003,0.025974025974026
"10","HU734291",1,0,0.004,0.038961038961039
"11","HU13361989",1,0,0.004,0.038961038961039
"12","HU18461376",9,0,0.008,0.0909090909090909
"13","HU11393982",4,0,0.004,0.038961038961039
"14","HU10356113",7,0,0.01,0.116883116883117
"15","HU10935013",1,0,0.002,0.012987012987013
"16","HU12166602",1,0,0.004,0.038961038961039
"17","HU12691908",1,0,0.004,0.038961038961039
"18","HU321204",1,0,0.004,0.038961038961039
"19","HU10856211",1,0,0.004,0.038961038961039
"20","HU735638",23,0,0.018,0.220779220779221
"21","HU15000023",1,0,0.001,0
"22","HU12886513",3,0,0.003,0.025974025974026
"23","HU12285314",15,0,0.011,0.12987012987013
"24","HU598327",1,0,0.004,0.038961038961039
"25","HU10837410",1,0,0.004,0.038961038961039
"26","HU18237010",1,0,0.004,0.038961038961039
"27","HU12962240",1,0,0.004,0.038961038961039
"28","HU311399",1,0,0.004,0.038961038961039
"29","HU12580327",1,0,0.004,0.038961038961039
"30","HU731487",1,0,0.004,0.038961038961039
"31","HU14329977",1,0,0.004,0.038961038961039
"32","HU735803",8,0,0.006,0.0649350649350649
"33","HU11869852",7,0,0.006,0.0649350649350649
"34","HU597759",1,0,0.004,0.038961038961039
"35","HU10728350",1,0,0.004,0.038961038961039
"36","HU730688",1,0,0.004,0.038961038961039
"37","HU21448698",1,0,0.004,0.038961038961039
"38","HU329871",1,0,0.004,0.038961038961039
"39","HU10256161",1,0,0.004,0.038961038961039
"40","HU18127492",2,0,0.006,0.0649350649350649
"41","HU11933595",1,0,0.003,0.025974025974026
"42","HU308801",6,0,0.012,0.142857142857143
"43","HU10368884",1,0,0.002,0.012987012987013
"44","HU735869",1,0,0.003,0.025974025974026
"45","HU12786293",2,0,0.006,0.0649350649350649
"46","HU11819943",1,0,0.002,0.012987012987013
"47","HU735704",1,0,0.003,0.025974025974026
"48","HU10386921",2,0,0.006,0.0649350649350649
"49","HU20933713",8,0,0.014,0.168831168831169
"50","HU11387729",2,0,0.004,0.038961038961039
"51","HU733656",3,0,0.003,0.025974025974026
"52","HU12140732",1,0,0.002,0.012987012987013
"53","HU762944",3,0,0.006,0.0649350649350649
"54","HU10435953",1,0,0.002,0.012987012987013
"55","HU727002",1,0,0.001,0
"56","HU731300",1,0,0.004,0.038961038961039
"57","HU12031627",1,0,0.004,0.038961038961039
"58","HU15000078",3,0,0.003,0.025974025974026
"59","HU12169210",4,0,0.006,0.0649350649350649
"60","HU12877096",1,0,0.002,0.012987012987013
"61","HU725361",11,0,0.014,0.168831168831169
"62","HU13677916",2,0,0.003,0.025974025974026
"63","HU726621",2,0,0.006,0.0649350649350649
"64","HU14342806",1,0,0.003,0.025974025974026
"65","HU329530",1,0,0.004,0.038961038961039
"66","HU11712152",1,0,0.004,0.038961038961039
"67","HU10324224",1,0,0.004,0.038961038961039
"68","HU10798449",1,0,0.004,0.038961038961039
"69","HU12376447",28,0,0.003,0.025974025974026
"70","HU12013212",1,0,0.002,0.012987012987013
"71","HU21168516",3,0,0.004,0.038961038961039
"72","HU15000224",2,0,0.003,0.025974025974026
"73","HU329749",2,0,0.006,0.0649350649350649
"74","HU13240433",1,0,0.003,0.025974025974026
"75","HU14",1,0,0.002,0.012987012987013
"76","HU329859",2,0,0.006,0.0649350649350649
"77","HU13722016",1,0,0.003,0.025974025974026
"78","HU12568011",2,0,0.004,0.038961038961039
