"","id","Contracts","Bridging Capacity","Influence","infl_norm"
"1","HU730831",3,0,0,0
"2","HU13610458",5,0,0.001,0.0909090909090909
"3","HU724089",1,0,0,0
"4","HU10738885",22,0,0.002,0.181818181818182
"5","HU734444",56,0,0.003,0.272727272727273
"6","HU735759",18,0,0.001,0.0909090909090909
"7","HU13541576",1,0,0,0
"8","HU320988",1,0,0,0
"9","HU14008915",24,0,0.002,0.181818181818182
"10","HU732385",3,0,0.001,0.0909090909090909
"11","HU13769947",6,0,0.001,0.0909090909090909
"12","HU724001",2,0,0,0
"13","HU11892577",9,0,0.001,0.0909090909090909
"14","HU726566",2,0,0.001,0.0909090909090909
"15","HU14425767",1,0,0,0
"16","HU18965519",3,0,0.001,0.0909090909090909
"17","HU15000291",1,0,0,0
"18","HU583231",5,0,0.001,0.0909090909090909
"19","HU10412206",5,0,0.001,0.0909090909090909
"20","HU491020",6,0,0.001,0.0909090909090909
"21","HU14328110",3,0,0.001,0.0909090909090909
"22","HU590046",2,0,0,0
"23","HU13217471",5,0,0.001,0.0909090909090909
"24","HU730138",3,0,0.001,0.0909090909090909
"25","HU12049679",5,0,0.001,0.0909090909090909
"26","HU13126276",2,0,0,0
"27","HU331845",1,0,0,0
"28","HU10815135",4,0,0.001,0.0909090909090909
"29","HU589080",1,0,0,0
"30","HU14300327",69,0,0.006,0.545454545454546
"31","HU473040",1,0,0,0
"32","HU14975176",4,0,0.001,0.0909090909090909
"33","HU732550",1,0,0,0
"34","HU11242604",5,0,0.001,0.0909090909090909
"35","HU730150",7,0,0.001,0.0909090909090909
"36","HU12354526",5,0,0.001,0.0909090909090909
"37","HU727398",9,0,0.001,0.0909090909090909
"38","HU10429549",18,0,0.001,0.0909090909090909
"39","HU432755",1,0,0,0
"40","HU11531801",2,0,0,0
"41","HU732538",6,0,0.001,0.0909090909090909
"42","HU10367285",3,0,0,0
"43","HU542308",5,0,0.001,0.0909090909090909
"44","HU730161",1,0,0,0
"45","HU10660612",6,0,0.001,0.0909090909090909
"46","HU725646",1,0,0,0
"47","HU11580317",7,0,0.001,0.0909090909090909
"48","HU11152668",8,0,0,0
"49","HU11986270",20,0,0.001,0.0909090909090909
"50","HU728427",1,0,0,0
"51","HU12110735",1,0,0,0
"52","HU421063",2,0,0.001,0.0909090909090909
"53","HU10380169",1,0,0,0
"54","HU18617498",2,0,0.001,0.0909090909090909
"55","HU12743933",1,0,0,0
"56","HU725273",2,0,0,0
"57","HU11042851",11,0,0.001,0.0909090909090909
"58","HU321172",2,0,0,0
"59","HU10787133",4,0,0.001,0.0909090909090909
