"","id","Contracts","Bridging Capacity","Influence","infl_norm"
"1","CZ00064467",1,0,0,0
"2","CZ48026921",14,0,0.002,0.153846153846154
"3","CZ00275336",1,0,0,0
"4","CZ26746573",9,0,0.002,0.153846153846154
"5","CZ00253481",2,0,0.001,0.0769230769230769
"6","CZ26352516",2,0,0.001,0.0769230769230769
"7","CZ00277444",4,0,0.001,0.0769230769230769
"8","CZ60890002",2,0,0.001,0.0769230769230769
"9","CZ00266027",6,0,0.001,0.0769230769230769
"10","CZ28232836",4,0,0.001,0.0769230769230769
"11","CZ00064203",2,0,0,0
"12","CZ00014915",34,0,0.005,0.384615384615385
"13","CZ00024007",5,0,0.001,0.0769230769230769
"14","CZ45539537",2,0,0,0
"15","CZ00283924",17,0,0.003,0.230769230769231
"16","CZ13694341",5,0,0.001,0.0769230769230769
"17","CZ68378271",3,0,0.001,0.0769230769230769
"18","CZ18629628",10,0,0.002,0.153846153846154
"19","CZ00063461",15,0,0.003,0.230769230769231
"20","CZ25941127",4,0,0.001,0.0769230769230769
"21","CZ00064581",71,0,0.01,0.769230769230769
"22","CZ45274924",77,0,0.009,0.692307692307692
"23","CZ25702556",8,0,0.001,0.0769230769230769
"24","CZ63886464",5,0,0.001,0.0769230769230769
"25","CZ44992785",69,0,0.009,0.692307692307692
"26","CZ45474281",6,0,0.001,0.0769230769230769
"27","CZ00300535",13,0,0.002,0.153846153846154
"28","CZ15504158",12,0,0.002,0.153846153846154
"29","CZ00845451",62,0,0.008,0.615384615384615
"30","CZ26792222",3,0,0,0
"31","CZ00289965",2,0,0,0
"32","CZ26230992",9,0,0.001,0.0769230769230769
"33","CZ00260576",4,0,0.001,0.0769230769230769
"34","CZ26768607",10,0,0.002,0.153846153846154
"35","CZ00276529",5,0,0.001,0.0769230769230769
"36","CZ25281607",3,0,0.001,0.0769230769230769
"37","CZ00272876",3,0,0,0
"38","CZ60838744",90,0,0.012,0.923076923076923
"39","CZ00268321",9,0,0.001,0.0769230769230769
"40","CZ46980059",18,0,0.002,0.153846153846154
"41","CZ00301311",2,0,0.001,0.0769230769230769
"42","CZ25891014",1,0,0.001,0.0769230769230769
"43","CZ49451871",3,0,0.001,0.0769230769230769
"44","CZ26309190",3,0,0.001,0.0769230769230769
"45","CZ00283509",2,0,0,0
"46","CZ60701455",3,0,0.001,0.0769230769230769
"47","CZ48333841",3,0,0.001,0.0769230769230769
"48","CZ26385759",6,0,0.001,0.0769230769230769
"49","CZ00278955",2,0,0.001,0.0769230769230769
"50","CZ63220369",2,0,0.001,0.0769230769230769
"51","CZ00281964",4,0,0.001,0.0769230769230769
"52","CZ25322257",37,0,0.005,0.384615384615385
"53","CZ61716464",2,0,0,0
"54","CZ28315669",10,0,0.002,0.153846153846154
"55","CZ70870896",1,0,0.001,0.0769230769230769
