"","id","Contracts","Bridging.Capacity","Influence","infl_norm"
"1","CZ49451871",4,0,0.001,0.05
"2","CZ49973215",25,0,0.004,0.2
"3","CZ00269719",1,0,0,0
"4","CZ42228468",4,0,0.001,0.05
"5","CZ00489174",3,0,0,0
"6","CZ49436589",9,0,0.001,0.05
"7","CZ26229269",6,0,0.001,0.05
"8","CZ25506820",4,0,0.001,0.05
"9","CZ75122979",1,0,0,0
"10","CZ25322257",28,0,0.004,0.2
"11","CZ00295671",2,0,0.001,0.05
"12","CZ26230992",8,0,0.001,0.05
"13","CZ44555601",8,0,0.002,0.1
"14","CZ00531766",31,0,0.005,0.25
"15","CZ00265781",9,0,0.001,0.05
"16","CZ62242105",14,0,0.001,0.05
"17","CZ00241687",5,0,0.001,0.05
"18","CZ48026921",11,0,0.002,0.1
"19","CZ00259586",3,0,0.001,0.05
"20","CZ18248675",1,0,0,0
"21","CZ46956484",10,0,0.001,0.05
"22","CZ46342796",34,0,0.004,0.2
"23","CZ26396645",5,0,0.001,0.05
"24","CZ45357269",17,0,0.002,0.1
"25","CZ00304450",7,0,0.001,0.05
"26","CZ48399477",8,0,0.001,0.05
"27","CZ00240117",9,0,0.001,0.05
"28","CZ00014915",67,0,0.008,0.4
"29","CZ00275051",1,0,0,0
"30","CZ28808495",2,0,0,0
"31","CZ26095165",2,0,0,0
"32","CZ26030152",4,0,0.001,0.05
"33","CZ00259349",7,0,0.001,0.05
"34","CZ40523284",7,0,0.001,0.05
"35","CZ00256986",1,0,0,0
"36","CZ45274924",140,0,0.014,0.7
"37","CZ46709002",2,0,0,0
"38","CZ48292516",16,0,0.003,0.15
"39","CZ60108118",2,0,0,0
"40","CZ00290785",1,0,0.001,0.05
"41","CZ46976469",1,0,0.001,0.05
"42","CZ00566756",1,0,0,0
"43","CZ26961474",4,0,0.001,0.05
"44","CZ00265942",2,0,0,0
"45","CZ00260231",4,0,0.001,0.05
"46","CZ00266299",1,0,0,0
"47","CZ40233308",25,0,0.003,0.15
"48","CZ45245819",2,0,0.001,0.05
"49","CZ26073005",1,0,0.001,0.05
"50","CZ00243132",8,0,0.001,0.05
"51","CZ60838744",181,0,0.018,0.9
"52","CZ48172898",1,0,0.001,0.05
"53","CZ19010591",1,0,0.001,0.05
"54","CZ25607618",11,0,0.002,0.1
"55","CZ00023337",4,0,0.001,0.05
"56","CZ00092584",2,0,0,0
"57","CZ47911182",8,0,0.001,0.05
"58","CZ48154938",2,0,0.001,0.05
"59","CZ25253361",18,0,0.003,0.15
"60","CZ00284459",2,0,0,0
"61","CZ26229455",5,0,0.001,0.05
"62","CZ70891168",10,0,0.001,0.05
"63","CZ28420403",11,0,0.001,0.05
"64","CZ00301311",14,0,0.002,0.1
"65","CZ00266027",6,0,0.001,0.05
"66","CZ64653137",3,0,0,0
"67","CZ67179843",3,0,0.001,0.05
"68","CZ00236021",3,0,0.001,0.05
"69","CZ41432037",1,0,0,0
"70","CZ61538213",8,0,0.001,0.05
"71","CZ68378271",6,0,0.001,0.05
"72","CZ70890749",63,0,0.007,0.35
"73","CZ25337220",6,0,0.001,0.05
"74","CZ60932171",9,0,0.001,0.05
"75","CZ00253669",2,0,0,0
"76","CZ25606468",16,0,0.002,0.1
"77","CZ00278653",2,0,0,0
"78","CZ15034682",8,0,0.001,0.05
"79","CZ00253979",14,0,0.002,0.1
"80","CZ45358800",8,0,0.001,0.05
"81","CZ00260771",6,0,0.001,0.05
"82","CZ26768607",5,0,0.001,0.05
"83","CZ45193771",6,0,0.001,0.05
"84","CZ00216275",16,0,0.002,0.1
"85","CZ00486361",9,0,0.001,0.05
"86","CZ00303836",1,0,0,0
"87","CZ46578463",2,0,0.001,0.05
"88","CZ00090450",51,0,0.004,0.2
"89","CZ26177005",72,0,0.007,0.35
"90","CZ70891095",19,0,0.002,0.1
"91","CZ45146802",4,0,0,0
"92","CZ00254843",13,0,0.001,0.05
"93","CZ26384795",2,0,0,0
"94","CZ00279633",2,0,0.001,0.05
"95","CZ27546756",2,0,0.001,0.05
"96","CZ00261238",4,0,0.001,0.05
"97","CZ00671533",13,0,0.002,0.1
"98","CZ00635162",2,0,0,0
"99","CZ25836129",4,0,0.001,0.05
"100","CZ00063517",3,0,0.001,0.05
"101","CZ00277037",3,0,0.001,0.05
"102","CZ46678468",28,0,0.003,0.15
"103","CZ61989100",14,0,0.002,0.1
"104","CZ00278343",2,0,0,0
