"","id","Contracts","Bridging Capacity","Influence","infl_norm"
"1","HU11385174",1,0,0.012,0.0535714285714286
"2","HU13958147",7,0,0.065,1
"3","HU728582",5,0,0.032,0.410714285714286
"4","HU12867619",6,0,0.036,0.482142857142857
"5","HU15000168",1,0,0.009,0
"6","HU308427",1,0,0.026,0.303571428571429
"7","HU10773381",1,0,0.026,0.303571428571429
"8","HU14605749",1,0,0.02,0.196428571428571
"9","HU11147073",2,0,0.037,0.5
"10","HU734444",1,0,0.013,0.0714285714285714
"11","HU13799047",3,0,0.033,0.428571428571429
"12","HU10898824",1,0,0.026,0.303571428571429
"13","HU12928130",1,0,0.026,0.303571428571429
"14","HU733612",2,0,0.021,0.214285714285714
"15","HU734477",3,0,0.028,0.339285714285714
"16","HU728021",3,0,0.032,0.410714285714286
"17","HU14823495",1,0,0.012,0.0535714285714286
"18","HU13980335",1,0,0.02,0.196428571428571
"19","HU12898019",3,0,0.037,0.5
"20","HU731784",1,0,0.014,0.0892857142857143
"21","HU730084",1,0,0.014,0.0892857142857143
"22","HU20933713",1,0,0.026,0.303571428571429
"23","HU14292615",1,0,0.026,0.303571428571429
"24","HU726467",1,0,0.026,0.303571428571429
"25","HU15000285",1,0,0.026,0.303571428571429
"26","HU23501894",1,0,0.026,0.303571428571429
"27","HU23443486",1,0,0.026,0.303571428571429
"28","HU342515",4,0,0.026,0.303571428571429
"29","HU10814505",4,0,0.026,0.303571428571429
"30","HU490737",1,0,0.026,0.303571428571429
"31","HU10897830",1,0,0.026,0.303571428571429
"32","HU773065",3,0,0.049,0.714285714285714
"33","HU12095883",1,0,0.018,0.160714285714286
"34","HU12351846",1,0,0.018,0.160714285714286
"35","HU10856417",9,0,0.026,0.303571428571429
"36","HU12440915",9,0,0.026,0.303571428571429
"37","HU12492589",1,0,0.018,0.160714285714286
"38","HU375472",5,0,0.031,0.392857142857143
"39","HU14771422",3,0,0.02,0.196428571428571
