"","id","Contracts","Bridging Capacity","Influence","infl_norm"
"1","SK30230365",1,0,0.003,0.0769230769230769
"2","SK36743402",1,0,0.003,0.0769230769230769
"3","SK30416094",1,0,0.003,0.0769230769230769
"4","SK45262985",1,0,0.003,0.0769230769230769
"5","SK00309974",3,0,0.005,0.153846153846154
"6","SK36239542",1,0,0.002,0.0384615384615385
"7","SK36603350",3,0,0.005,0.153846153846154
"8","SK31103049",1,0,0.002,0.0384615384615385
"9","SK37957937",1,0,0.003,0.0769230769230769
"10","SK36034002",1,0,0.003,0.0769230769230769
"11","SK00397865",3,0,0.005,0.153846153846154
"12","SK36284289",1,0,0.002,0.0384615384615385
"13","SK31654878",2,0,0.003,0.0769230769230769
"14","SK00698393",4,0,0.004,0.115384615384615
"15","SK17320429",1,0,0.001,0
"16","SK00326470",6,0,0.005,0.153846153846154
"17","SK31651518",24,0,0.019,0.692307692307692
"18","SK00306525",2,0,0.002,0.0384615384615385
"19","SK35683066",18,0,0.018,0.653846153846154
"20","SK00323021",2,0,0.002,0.0384615384615385
"21","SK36473332",2,0,0.002,0.0384615384615385
"22","SK00151491",2,0,0.003,0.0769230769230769
"23","SK31356648",6,0,0.009,0.307692307692308
"24","SK00318094",2,0,0.003,0.0769230769230769
"25","SK36328375",3,0,0.004,0.115384615384615
"26","SK17335825",1,0,0.002,0.0384615384615385
"27","SK00308536",1,0,0.001,0
"28","SK36526185",3,0,0.004,0.115384615384615
"29","SK35910739",21,0,0.027,1
"30","SK34118152",1,0,0.002,0.0384615384615385
"31","SK36036889",4,0,0.005,0.153846153846154
"32","SK36137952",1,0,0.003,0.0769230769230769
"33","SK36435694",1,0,0.003,0.0769230769230769
"34","SK31579582",1,0,0.002,0.0384615384615385
"35","SK36218740",2,0,0.003,0.0769230769230769
"36","SK14098318",1,0,0.002,0.0384615384615385
"37","SK35761024",1,0,0.002,0.0384615384615385
"38","SK36334324",2,0,0.003,0.0769230769230769
"39","SK17556741",1,0,0.002,0.0384615384615385
"40","SK31566537",1,0,0.002,0.0384615384615385
"41","SK00397687",6,0,0.008,0.269230769230769
"42","SK31321861",1,0,0.002,0.0384615384615385
"43","SK37915568",1,0,0.003,0.0769230769230769
"44","SK36414263",1,0,0.003,0.0769230769230769
"45","SK30845572",2,0,0.005,0.153846153846154
"46","SK31617913",1,0,0.003,0.0769230769230769
"47","SK00306185",4,0,0.004,0.115384615384615
"48","SK44695683",3,0,0.003,0.0769230769230769
"49","SK00329321",1,0,0.003,0.0769230769230769
"50","SK31755194",1,0,0.003,0.0769230769230769
"51","SK00399957",2,0,0.002,0.0384615384615385
"52","SK36191892",6,0,0.006,0.192307692307692
"53","SK35829052",6,0,0.008,0.269230769230769
"54","SK17055164",1,0,0.002,0.0384615384615385
"55","SK37870475",22,0,0.016,0.576923076923077
"56","SK31690360",9,0,0.008,0.269230769230769
"57","SK00326585",2,0,0.002,0.0384615384615385
"58","SK36168335",5,0,0.006,0.192307692307692
"59","SK00325490",5,0,0.005,0.153846153846154
"60","SK31355161",5,0,0.005,0.153846153846154
"61","SK00305383",1,0,0.002,0.0384615384615385
"62","SK35721278",4,0,0.005,0.153846153846154
"63","SK00003328",15,0,0.012,0.423076923076923
"64","SK36168572",1,0,0.001,0
"65","SK00323560",6,0,0.007,0.230769230769231
"66","SK31722849",2,0,0.002,0.0384615384615385
"67","SK43900950",2,0,0.002,0.0384615384615385
"68","SK00309672",1,0,0.003,0.0769230769230769
"69","SK43900542",1,0,0.003,0.0769230769230769
"70","SK36425851",1,0,0.002,0.0384615384615385
"71","SK00313424",1,0,0.002,0.0384615384615385
"72","SK00310964",1,0,0.003,0.0769230769230769
"73","SK36530328",1,0,0.003,0.0769230769230769
"74","SK00326283",1,0,0.002,0.0384615384615385
"75","SK31715290",2,0,0.003,0.0769230769230769
"76","SK00327379",2,0,0.002,0.0384615384615385
"77","SK31657095",1,0,0.002,0.0384615384615385
"78","SK31628541",1,0,0.001,0
"79","SK31721079",6,0,0.005,0.153846153846154
"80","SK36297445",1,0,0.002,0.0384615384615385
"81","SK31936415",1,0,0.003,0.0769230769230769
"82","SK36014354",1,0,0.003,0.0769230769230769
"83","SK00310182",3,0,0.004,0.115384615384615
"84","SK36302031",4,0,0.004,0.115384615384615
"85","SK00313271",1,0,0.001,0
"86","SK00327646",3,0,0.003,0.0769230769230769
"87","SK36461733",3,0,0.003,0.0769230769230769
"88","SK00309311",1,0,0.003,0.0769230769230769
"89","SK36555801",1,0,0.003,0.0769230769230769
"90","SK00691135",5,0,0.004,0.115384615384615
"91","SK00329061",2,0,0.005,0.153846153846154
"92","SK36582387",1,0,0.003,0.0769230769230769
"93","SK00313181",3,0,0.005,0.153846153846154
"94","SK14410923",1,0,0.002,0.0384615384615385
"95","SK00320501",2,0,0.003,0.0769230769230769
"96","SK31631134",3,0,0.004,0.115384615384615
"97","SK00315737",2,0,0.002,0.0384615384615385
"98","SK36390151",5,0,0.007,0.230769230769231
"99","SK18046428",1,0,0.001,0
"100","SK00315524",3,0,0.004,0.115384615384615
"101","SK43941664",9,0,0.01,0.346153846153846
"102","SK00312614",1,0,0.002,0.0384615384615385
"103","SK00324451",4,0,0.004,0.115384615384615
"104","SK37861298",7,0,0.007,0.230769230769231
